

Year_of_Publication,ARTICLE_COUNT
1911,118
1912,107
1913,104
1914,89
1915,101
1916,110
1917,119
1918,117
1919,135
1920,113
1921,114
1922,101
1923,122
1924,111
1925,117
1926,126
1927,109
1928,118
1929,124
1930,122
1931,131
1932,132
1933,127
1934,124
1935,130
1936,151
1937,148
1938,147
1939,135
1940,182
1941,178
1942,104
1943,107
1944,94
1945,107
1946,121
1947,130
1948,87
1949,101
1950,108
1951,133
1952,109
1953,104
1954,114
1955,96
1956,100
1957,105
1958,108
1959,101
1960,118
1961,108
1962,106
1963,114
1964,134
1965,128
1966,125
1967,155
1968,164
1969,186
1970,196
1971,182
1972,212
1973,175
1974,198
1975,175
1976,189
1977,185
1978,193
1979,186
1980,208
1981,193
1982,194
1983,196
1984,211
1985,206
1986,207
1987,157
1988,185
1989,188
1990,186
1991,181
1992,194
1993,175
1994,180
1995,172
1996,165
1997,161
1998,163
1999,159
2000,183
2001,182
2002,190
2003,185
2004,178
2005,183
2006,189
2007,191
2008,190
2009,202
2010,224
2011,248
2012,242
2013,167






