

Year_of_Publication,ARTICLE_COUNT
1895,23
1896,48
1897,42
1898,42
1899,44
1900,43
1901,39
1902,29
1903,44
1904,38
1905,42
1906,35
1907,36
1908,41
1909,36
1910,34
1911,37
1912,41
1913,33
1914,42
1915,30
1916,38
1917,32
1918,30
1919,28
1920,32
1921,29
1922,29
1923,34
1924,27
1925,34
1926,43
1927,50
1928,51
1929,62
1930,66
1931,59
1932,65
1933,48
1934,53
1935,48
1936,46
1937,50
1938,45
1939,45
1940,32
1941,56
1942,55
1943,50
1944,45
1945,48
1946,56
1947,50
1948,50
1949,48
1950,41
1951,68
1952,50
1953,45
1954,50
1955,49
1956,66
1957,48
1958,46
1959,53
1960,49
1961,43
1962,50
1963,44
1964,44
1965,45
1966,44
1967,47
1968,48
1969,45
1970,51
1971,51
1972,56
1973,67
1974,48
1975,44
1976,47
1977,39
1978,64
1979,47
1980,49
1981,44
1982,50
1983,43
1984,40
1985,37
1986,33
1987,36
1988,45
1989,33
1990,36
1991,42
1992,41
1993,35
1994,40
1995,41
1996,47
1997,116
1998,97
1999,80
2000,48
2001,54
2002,44
2003,36
2004,40
2005,51
2006,49
2007,47
2008,57
2009,50
2010,55
2011,50
2012,48
2013,57
2014,20






