

Year_of_Publication,ARTICLE_COUNT
1906,7
1907,56
1908,56
1909,100
1910,68
1911,67
1912,49
1913,57
1914,65
1915,71
1916,57
1917,65
1918,72
1919,57
1920,54
1921,46
1922,55
1923,55
1924,61
1925,47
1926,78
1927,65
1928,84
1929,65
1930,79
1931,71
1932,74
1933,67
1934,80
1935,70
1936,64
1937,62
1938,52
1939,47
1940,58
1941,58
1942,58
1943,51
1944,66
1945,56
1946,52
1947,54
1948,45
1949,54
1950,67
1951,63
1952,68
1953,66
1954,56
1955,40
1956,42
1957,56
1958,69
1959,45
1960,54
1961,59
1962,61
1963,52
1964,52
1965,54
1966,51
1967,54
1968,62
1969,67
1970,56
1971,58
1972,55
1973,53
1974,69
1975,67
1976,39
1977,56
1978,50
1979,44
1980,50
1981,45
1982,44
1983,46
1984,52
1985,53
1986,54
1987,58
1988,57
1989,51
1990,53
1991,58
1992,59
1993,56
1994,51
1995,57
1996,45
1997,50
1998,50
1999,50
2000,44
2001,53
2002,36
2003,42
2004,45
2005,45
2006,78
2007,54
2008,38
2009,37
2010,44
2011,46
2012,45
2013,10






