

Year_of_Publication,ARTICLE_COUNT
1936,59
1937,65
1938,57
1939,53
1940,59
1941,54
1942,62
1943,70
1944,61
1945,82
1946,70
1947,69
1948,71
1949,65
1950,94
1951,104
1952,96
1953,85
1954,90
1955,73
1956,86
1957,78
1958,61
1959,73
1960,73
1961,69
1962,82
1963,74
1964,57
1965,62
1966,58
1967,60
1968,51
1969,55
1970,78
1971,90
1972,98
1973,81
1974,98
1975,77
1976,115
1977,90
1978,82
1979,88
1980,91
1981,101
1982,86
1983,79
1984,70
1985,66
1986,68
1987,73
1988,79
1989,81
1990,75
1991,68
1992,59
1993,57
1994,51
1995,58
1996,67
1997,58
1998,57
1999,55
2000,53
2001,46
2002,45
2003,44
2004,48
2005,45
2006,49
2007,46
2008,46
2009,47
2010,42
2011,42
2012,46
2013,30






