

Year_of_Publication,ARTICLE_COUNT
1848,18
1850,14
1852,6
1853,16
1854,28
1855,13
1856,40
1858,5
1859,15
1860,7
1861,29
1862,26
1863,86
1864,85
1865,67
1866,101
1867,88
1868,86
1869,148
1870,129
1871,55
1872,120
1873,110
1874,103
1875,78
1876,92
1877,112
1878,118
1879,98
1880,102
1881,71
1882,110
1883,90
1884,69
1885,95
1886,98
1887,114
1888,163
1889,202
1890,184
1891,180
1892,216
1893,191
1894,216
1895,191
1896,195
1897,182
1898,205
1899,232
1900,235
1901,292
1902,236
1903,257
1904,237
1905,261
1906,329
1907,341
1908,318
1909,325
1910,348
1911,298
1912,356
1913,388
1914,347
1915,310
1916,242
1917,299
1918,212
1919,265
1920,217
1921,274
1922,205
1923,327
1924,258
1925,321
1926,318
1927,308
1928,328
1929,358
1930,402
1931,440
1932,429
1933,388
1934,408
1935,380
1936,418
1937,490
1938,452
1939,431
1940,446
1941,357
1942,362
1943,304
1944,286
1945,330
1946,436
1947,390
1948,456
1949,501
1950,569
1951,611
1952,628
1953,618
1954,739
1955,745
1956,720
1957,658
1958,704
1959,708
1960,840
1961,906
1962,863
1963,949
1964,968
1965,984
1966,957
1967,827
1968,894
1969,863
1970,937
1971,891
1972,951
1973,1006
1974,1016
1975,1053
1976,1162
1977,1149
1978,1152
1979,1209
1980,1199
1981,1132
1982,1158
1983,1161
1984,1166
1985,1324
1986,1369
1987,1326
1988,1208
1989,1203
1990,1223
1991,1126
1992,1113
1993,1213
1994,1208
1995,1195
1996,1200
1997,1296
1998,1253
1999,1224
2000,1308
2001,1291
2002,1262
2003,1318
2004,1445
2005,1344
2006,1388
2007,1348
2008,1410
2009,1300
2010,1330
2011,1173
2012,1117
2013,618
2014,193






