

Year_of_Publication,ARTICLE_COUNT
1836,56
1840,157
1841,2
1842,2
1843,3
1844,156
1845,7
1846,11
1847,168
1848,19
1850,156
1852,26
1853,136
1854,23
1856,12
1857,111
1858,17
1859,14
1860,14
1861,82
1862,96
1863,96
1864,138
1865,67
1866,129
1867,129
1868,175
1869,132
1870,217
1871,162
1872,167
1873,155
1874,188
1875,215
1876,248
1877,262
1878,242
1879,340
1880,263
1881,244
1882,297
1883,439
1884,452
1885,459
1886,436
1887,494
1888,489
1889,636
1890,506
1891,527
1892,617
1893,788
1894,655
1895,701
1896,784
1897,809
1898,888
1899,827
1900,888
1901,844
1902,1032
1903,979
1904,901
1905,907
1906,948
1907,1118
1908,995
1909,1030
1910,968
1911,1211
1912,1035
1913,945
1914,1052
1915,986
1916,1006
1917,977
1918,871
1919,988
1920,1015
1921,1060
1922,1092
1923,1095
1924,1142
1925,1116
1926,1245
1927,1362
1928,1445
1929,1590
1930,1599
1931,1719
1932,1722
1933,1660
1934,1770
1935,1923
1936,2059
1937,2054
1938,2031
1939,2134
1940,2083
1941,2062
1942,2016
1943,1861
1944,1659
1945,1722
1946,1693
1947,1903
1948,2065
1949,2127
1950,2282
1951,2314
1952,2336
1953,2486
1954,2788
1955,2810
1956,3112
1957,3135
1958,3160
1959,3271
1960,3722
1961,3769
1962,3802
1963,3981
1964,4251
1965,4536
1966,4807
1967,5097
1968,5681
1969,5739
1970,5825
1971,5989
1972,6266
1973,6395
1974,6438
1975,6426
1976,6691
1977,7185
1978,7319
1979,7519
1980,7820
1981,7981
1982,8306
1983,8561
1984,8834
1985,8939
1986,8986
1987,9400
1988,9325
1989,9922
1990,9711
1991,9714
1992,10099
1993,10011
1994,9920
1995,10140
1996,10390
1997,10383
1998,10849
1999,11017
2000,11013
2001,11802
2002,11486
2003,12346
2004,12334
2005,12514
2006,12941
2007,12822
2008,13071
2009,12717
2010,12834
2011,11664
2012,11217
2013,6860
2014,442






