

Year_of_Publication,ARTICLE_COUNT
1955,58
1956,150
1957,105
1958,127
1959,160
1960,173
1961,196
1962,193
1963,196
1964,196
1965,278
1966,208
1967,287
1968,260
1969,289
1970,294
1971,358
1972,311
1973,346
1974,388
1975,301
1976,375
1977,369
1978,399
1979,384
1980,475
1981,532
1982,555
1983,570
1984,675
1985,608
1986,619
1987,614
1988,665
1989,737
1990,682
1991,709
1992,716
1993,782
1994,719
1995,732
1996,684
1997,759
1998,826
1999,781
2000,827
2001,835
2002,716
2003,747
2004,641
2005,686
2006,659
2007,686
2008,681
2009,650
2010,717
2011,241
2012,218
2013,128






