

Year_of_Publication,ARTICLE_COUNT
1844,20
1845,20
1846,15
1847,26
1848,13
1850,15
1851,66
1852,57
1853,53
1854,64
1855,67
1856,51
1857,51
1858,48
1859,53
1860,32
1861,38
1862,14
1863,34
1864,40
1865,68
1866,44
1867,42
1868,62
1869,50
1870,43
1871,50
1872,49
1873,47
1874,45
1875,101
1876,115
1877,117
1878,82
1879,39
1880,54
1881,44
1882,46
1883,49
1884,102
1885,67
1886,153
1887,140
1888,150
1889,147
1890,205
1891,353
1892,310
1893,456
1894,426
1895,418
1896,388
1897,396
1898,371
1899,442
1900,429
1901,483
1902,466
1903,499
1904,484
1905,480
1906,489
1907,548
1908,580
1909,582
1910,636
1911,703
1912,645
1913,807
1914,802
1915,794
1916,868
1917,929
1918,733
1919,792
1920,743
1921,797
1922,690
1923,712
1924,833
1925,882
1926,879
1927,855
1928,911
1929,981
1930,958
1931,901
1932,924
1933,945
1934,1037
1935,1060
1936,1075
1937,1100
1938,1090
1939,1078
1940,1037
1941,1047
1942,946
1943,920
1944,778
1945,787
1946,997
1947,978
1948,910
1949,1260
1950,1236
1951,1320
1952,1300
1953,1371
1954,1496
1955,1485
1956,1555
1957,1554
1958,1696
1959,1666
1960,1750
1961,1893
1962,1875
1963,1911
1964,1891
1965,2013
1966,2539
1967,2778
1968,3368
1969,3484
1970,3679
1971,3837
1972,4016
1973,3868
1974,3868
1975,3628
1976,3667
1977,3963
1978,3806
1979,3967
1980,4254
1981,4229
1982,4174
1983,4442
1984,4373
1985,4736
1986,4756
1987,4789
1988,4983
1989,5129
1990,4930
1991,5177
1992,4959
1993,5002
1994,5220
1995,5175
1996,5154
1997,5024
1998,5067
1999,4865
2000,4970
2001,4944
2002,5165
2003,5156
2004,5263
2005,5433
2006,5293
2007,5181
2008,5273
2009,5247
2010,4175
2011,3553
2012,3650
2013,2046
2014,167






