

Year_of_Publication,ARTICLE_COUNT
1840,125
1841,560
1842,659
1843,587
1844,492
1845,487
1846,418
1847,322
1848,337
1849,390
1850,394
1851,388
1852,350
1853,626
1854,548
1855,498
1856,587
1857,677
1858,633
1859,677
1860,649
1861,693
1862,724
1863,694
1864,598
1865,590
1866,645
1867,1630
1868,1850
1869,1776
1870,1906
1871,2038
1872,2121
1873,2008
1874,1894
1875,1854
1876,2052
1877,2241
1878,2108
1879,2440
1880,2381
1881,2272
1882,2483
1883,2680
1884,2613
1885,2692
1886,2846
1887,3036
1888,2498
1889,2596
1890,2656
1891,2380
1892,2713
1893,2953
1894,3153
1895,3106
1896,3387
1897,3251
1898,3329
1899,2966
1900,2869
1901,3181
1902,3138
1903,3118
1904,3133
1905,3060
1906,2719
1907,2685
1908,2858
1909,2905
1910,3014
1911,2686
1912,2752
1913,2578
1914,2512
1915,2205
1916,1960
1917,1973
1918,1896
1919,1970
1920,1900
1921,2058
1922,2218
1923,2193
1924,2139
1925,2285
1926,2244
1927,2494
1928,2524
1929,2540
1930,2504
1931,2362
1932,2503
1933,2439
1934,2496
1935,2611
1936,2521
1937,2494
1938,2737
1939,2578
1940,2305
1941,2197
1942,2000
1943,2035
1944,2107
1945,2206
1946,2326
1947,2344
1948,3062
1949,2789
1950,2835
1951,2574
1952,2606
1953,2662
1954,2874
1955,2939
1956,2685
1957,2743
1958,2837
1959,2584
1960,3036
1961,2914
1962,2990
1963,2987
1964,3613
1965,3403
1966,3438
1967,3546
1968,3340
1969,3608
1970,3567
1971,3523
1972,3722
1973,3844
1974,3586
1975,3870
1976,4435
1977,4628
1978,4746
1979,4633
1980,4135
1981,4559
1982,4391
1983,4445
1984,4375
1985,4424
1986,4277
1987,4246
1988,4454
1989,4368
1990,3959
1991,4707
1992,5019
1993,5336
1994,5608
1995,5638
1996,5285
1997,5479
1998,5484
1999,5563
2000,5467
2001,5387
2002,5249
2003,5585
2004,6394
2005,5628
2006,5734
2007,5789
2008,5964
2009,6137
2010,6252
2011,2892
2012,3002
2013,1892
2014,195






