

Year_of_Publication,ARTICLE_COUNT
1769,49
1783,55
1786,45
1787,20
1788,29
1789,18
1790,20
1791,47
1793,99
1797,26
1798,2
1799,114
1800,16
1802,47
1803,12
1804,29
1806,13
1809,94
1810,13
1815,11
1818,60
1825,31
1828,12
1830,32
1831,12
1832,205
1833,404
1834,356
1835,321
1836,210
1837,28
1838,20
1839,56
1840,349
1841,213
1842,25
1843,77
1844,169
1845,30
1846,73
1847,182
1848,46
1849,80
1850,171
1851,52
1852,69
1853,207
1854,40
1855,69
1856,52
1857,181
1858,67
1859,73
1860,119
1861,141
1862,91
1863,101
1864,106
1865,77
1866,131
1867,81
1868,93
1869,153
1870,105
1871,214
1872,53
1873,240
1874,235
1875,310
1876,318
1877,408
1878,381
1879,510
1880,370
1881,378
1882,326
1883,487
1884,353
1885,352
1886,431
1887,445
1888,449
1889,565
1890,494
1891,601
1892,530
1893,641
1894,649
1895,617
1896,671
1897,680
1898,722
1899,791
1900,794
1901,701
1902,830
1903,750
1904,792
1905,841
1906,908
1907,867
1908,866
1909,820
1910,865
1911,1117
1912,896
1913,789
1914,803
1915,866
1916,828
1917,877
1918,801
1919,774
1920,747
1921,795
1922,855
1923,827
1924,914
1925,952
1926,1109
1927,1063
1928,1166
1929,1197
1930,1168
1931,1187
1932,1319
1933,1288
1934,1207
1935,1380
1936,1372
1937,1495
1938,1615
1939,1520
1940,1478
1941,1387
1942,1316
1943,1350
1944,1382
1945,1349
1946,1320
1947,1406
1948,1496
1949,1531
1950,1657
1951,1848
1952,1823
1953,2151
1954,2083
1955,2040
1956,2029
1957,2076
1958,2065
1959,2251
1960,2527
1961,2494
1962,2545
1963,2637
1964,2710
1965,2699
1966,2863
1967,2807
1968,2923
1969,2992
1970,3111
1971,3109
1972,3183
1973,3196
1974,3331
1975,3655
1976,3559
1977,3632
1978,3658
1979,3781
1980,3832
1981,3623
1982,3534
1983,3544
1984,3591
1985,3667
1986,3661
1987,3727
1988,3928
1989,3930
1990,3971
1991,4056
1992,4055
1993,4130
1994,4138
1995,4228
1996,4189
1997,4446
1998,4696
1999,4442
2000,4500
2001,4739
2002,4699
2003,4587
2004,4806
2005,4860
2006,4901
2007,4827
2008,4590
2009,4248
2010,4120
2011,3299
2012,3567
2013,1913
2014,553






