

Year_of_Publication,ARTICLE_COUNT
1939,17
1940,22
1941,25
1942,29
1943,20
1944,18
1945,16
1946,29
1947,33
1948,32
1949,34
1950,30
1951,31
1952,29
1953,20
1954,23
1955,27
1956,30
1957,25
1958,25
1959,26
1960,27
1961,29
1962,32
1963,36
1964,40
1965,35
1966,31
1967,30
1968,36
1969,47
1970,44
1971,49
1972,48
1973,36
1974,40
1975,44
1976,52
1977,52
1978,46
1979,56
1980,63
1981,72
1982,50
1983,49
1984,50
1985,62
1986,44
1987,45
1988,46
1989,41
1990,46
1991,46
1992,47
1993,56
1994,50
1995,51
1996,53
1997,52
1998,46
1999,47
2000,49
2001,49
2002,51
2003,58
2004,56
2005,54
2006,72
2007,78
2008,82
2009,98
2010,83
2011,89
2012,79
2013,20






