

Year_of_Publication,ARTICLE_COUNT
1892,10
1893,35
1894,34
1895,27
1896,30
1897,35
1898,35
1899,33
1900,32
1901,34
1902,30
1903,29
1904,33
1905,23
1906,39
1907,49
1908,47
1909,38
1910,47
1911,57
1912,59
1913,63
1914,58
1915,52
1916,45
1917,57
1918,46
1919,53
1920,50
1921,53
1922,48
1923,41
1924,36
1925,36
1926,37
1927,38
1928,31
1929,29
1930,30
1931,32
1932,37
1933,37
1934,33
1935,34
1936,33
1937,32
1938,34
1939,42
1940,44
1941,35
1942,38
1943,41
1944,21
1945,20
1946,34
1947,37
1948,43
1949,42
1950,35
1951,37
1952,40
1953,33
1954,37
1955,38
1956,38
1957,39
1958,43
1959,52
1960,56
1961,51
1962,53
1963,49
1964,56
1965,64
1966,54
1967,102
1968,97
1969,84
1970,104
1971,118
1972,141
1973,134
1974,119
1975,82
1976,105
1977,75
1978,73
1979,87
1980,80
1981,71
1982,73
1983,58
1984,59
1985,67
1986,70
1987,69
1988,67
1989,72
1990,65
1991,60
1992,51
1993,53
1994,50
1995,50
1996,47
1997,52
1998,45
1999,62
2000,58
2001,58
2002,64
2003,61
2004,74
2005,56
2006,52
2007,49
2008,47
2009,44
2010,40
2011,44
2012,43
2013,45
2014,22






