

Year_of_Publication,ARTICLE_COUNT
1783,55
1793,33
1804,29
1809,31
1815,45
1816,70
1817,79
1818,29
1819,5
1820,8
1821,2
1825,114
1827,1
1828,1
1832,1
1833,16
1835,1
1836,57
1837,2
1839,5
1840,161
1841,41
1842,53
1843,68
1844,180
1845,45
1846,24
1847,160
1848,99
1849,70
1850,135
1851,36
1852,33
1853,173
1855,8
1856,22
1857,137
1858,3
1859,49
1860,19
1861,80
1862,25
1863,8
1864,64
1865,53
1866,73
1867,51
1868,42
1869,46
1870,83
1871,17
1872,51
1873,132
1874,174
1875,252
1876,263
1877,247
1878,231
1879,402
1880,303
1881,334
1882,321
1883,469
1884,379
1885,343
1886,461
1887,521
1888,599
1889,664
1890,585
1891,721
1892,622
1893,670
1894,661
1895,652
1896,683
1897,706
1898,748
1899,704
1900,791
1901,729
1902,809
1903,752
1904,815
1905,764
1906,943
1907,1034
1908,988
1909,908
1910,922
1911,1095
1912,1082
1913,1196
1914,1177
1915,1313
1916,1278
1917,1449
1918,1401
1919,1343
1920,1264
1921,1363
1922,1362
1923,1367
1924,1513
1925,1537
1926,1595
1927,1719
1928,2036
1929,2184
1930,2199
1931,2239
1932,2269
1933,2162
1934,2080
1935,2179
1936,2118
1937,2279
1938,2255
1939,2154
1940,2158
1941,2217
1942,2266
1943,2280
1944,2293
1945,2324
1946,2287
1947,2496
1948,2684
1949,2827
1950,2789
1951,2816
1952,2739
1953,2857
1954,2884
1955,2895
1956,2992
1957,2976
1958,3238
1959,3378
1960,3430
1961,3721
1962,3750
1963,3837
1964,4237
1965,4062
1966,4353
1967,4267
1968,4514
1969,4652
1970,4998
1971,5067
1972,5709
1973,5883
1974,6260
1975,6609
1976,6527
1977,6414
1978,6351
1979,6724
1980,6957
1981,6779
1982,7075
1983,7087
1984,7152
1985,7456
1986,7249
1987,7534
1988,7543
1989,7649
1990,7953
1991,8111
1992,8430
1993,8670
1994,8232
1995,8282
1996,8734
1997,8599
1998,8601
1999,8772
2000,8956
2001,8956
2002,9156
2003,8645
2004,8951
2005,8862
2006,9052
2007,8837
2008,8923
2009,8371
2010,7467
2011,4357
2012,3552
2013,2374
2014,1024






