

Year_of_Publication,ARTICLE_COUNT
1867,34
1868,29
1869,35
1870,25
1871,34
1872,30
1873,31
1874,37
1875,50
1876,171
1877,198
1878,164
1879,152
1880,147
1881,151
1882,156
1883,149
1884,144
1885,142
1886,164
1887,156
1888,128
1889,131
1890,135
1891,177
1892,218
1893,256
1894,253
1895,240
1896,222
1897,221
1898,208
1899,197
1900,238
1901,209
1902,211
1903,206
1904,343
1905,317
1906,325
1907,300
1908,347
1909,314
1910,313
1911,320
1912,319
1913,312
1914,289
1915,267
1916,328
1917,292
1918,277
1919,313
1920,247
1921,266
1922,277
1923,289
1924,269
1925,264
1926,319
1927,339
1928,342
1929,332
1930,314
1931,304
1932,324
1933,289
1934,379
1935,386
1936,514
1937,573
1938,491
1939,515
1940,396
1941,408
1942,357
1943,346
1944,307
1945,377
1946,480
1947,551
1948,593
1949,571
1950,655
1951,683
1952,709
1953,809
1954,756
1955,875
1956,821
1957,894
1958,858
1959,830
1960,839
1961,922
1962,875
1963,900
1964,913
1965,918
1966,981
1967,1067
1968,1084
1969,1215
1970,1235
1971,1272
1972,1395
1973,1392
1974,1524
1975,1461
1976,1535
1977,1420
1978,1576
1979,1449
1980,1493
1981,1495
1982,1770
1983,1641
1984,1731
1985,1759
1986,1811
1987,1791
1988,1871
1989,1888
1990,1907
1991,1913
1992,1948
1993,1943
1994,1982
1995,1861
1996,1884
1997,2042
1998,1981
1999,2020
2000,2243
2001,2146
2002,2131
2003,2202
2004,2215
2005,2285
2006,2415
2007,2494
2008,2588
2009,2749
2010,2612
2011,2461
2012,2385
2013,1656
2014,244






