

Year_of_Publication,ARTICLE_COUNT
1798,2
1799,61
1834,10
1835,15
1836,15
1837,22
1838,48
1839,63
1840,43
1841,39
1842,46
1843,54
1844,73
1845,81
1846,135
1847,56
1848,55
1850,18
1851,48
1852,56
1853,56
1854,51
1855,60
1856,89
1857,16
1858,13
1859,18
1860,9
1861,14
1862,14
1863,12
1864,16
1865,35
1866,19
1867,19
1868,24
1869,156
1870,205
1871,272
1872,278
1873,17
1874,278
1875,202
1876,19
1877,26
1878,17
1879,86
1880,92
1881,79
1882,109
1883,126
1884,122
1885,14
1886,55
1887,40
1888,47
1889,300
1890,381
1891,481
1892,254
1893,276
1894,218
1895,230
1896,209
1897,219
1898,207
1899,242
1900,244
1901,246
1902,247
1903,240
1904,287
1905,293
1906,292
1907,559
1908,537
1909,599
1910,631
1911,707
1912,678
1913,638
1914,588
1915,694
1916,704
1917,650
1918,611
1919,622
1920,669
1921,699
1922,693
1923,719
1924,759
1925,832
1926,1031
1927,872
1928,881
1929,904
1930,784
1931,703
1932,743
1933,678
1934,734
1935,797
1936,714
1937,847
1938,914
1939,1100
1940,1090
1941,1002
1942,908
1943,910
1944,919
1945,960
1946,985
1947,1163
1948,1340
1949,1332
1950,1329
1951,1273
1952,1313
1953,1218
1954,1215
1955,1213
1956,1195
1957,1239
1958,1232
1959,1238
1960,1232
1961,1269
1962,1255
1963,1329
1964,1294
1965,1309
1966,1830
1967,1984
1968,2676
1969,2664
1970,3058
1971,3412
1972,3315
1973,3107
1974,3149
1975,3036
1976,3045
1977,3372
1978,3280
1979,3220
1980,3431
1981,3558
1982,3424
1983,3687
1984,3683
1985,3848
1986,3908
1987,4177
1988,4374
1989,4406
1990,4327
1991,4499
1992,4450
1993,4501
1994,4832
1995,4552
1996,4647
1997,4578
1998,4505
1999,4507
2000,4686
2001,4882
2002,4752
2003,4854
2004,5130
2005,5196
2006,5226
2007,4887
2008,4986
2009,4729
2010,3685
2011,2990
2012,2819
2013,1354
2014,133






