

Year_of_Publication,ARTICLE_COUNT
1887,5
1888,16
1889,13
1890,14
1891,17
1892,27
1893,19
1894,17
1895,20
1896,15
1897,20
1898,25
1899,21
1900,28
1901,19
1902,21
1903,38
1904,26
1905,27
1906,22
1907,28
1908,29
1909,27
1910,23
1911,27
1912,27
1913,37
1914,25
1915,37
1916,37
1917,44
1918,35
1919,36
1920,25
1921,42
1922,40
1923,60
1924,62
1925,51
1926,72
1927,92
1928,73
1929,78
1930,117
1931,129
1932,130
1933,147
1934,138
1935,129
1936,128
1937,181
1938,135
1939,115
1940,86
1941,104
1942,89
1943,60
1944,53
1945,49
1946,70
1947,72
1948,100
1949,89
1950,100
1951,109
1952,143
1953,130
1954,153
1955,148
1956,185
1957,190
1958,200
1959,202
1960,218
1961,206
1962,231
1963,263
1964,292
1965,249
1966,224
1967,237
1968,226
1969,215
1970,218
1971,313
1972,275
1973,285
1974,316
1975,286
1976,319
1977,412
1978,341
1979,344
1980,387
1981,404
1982,384
1983,375
1984,485
1985,423
1986,409
1987,423
1988,425
1989,428
1990,636
1991,589
1992,617
1993,620
1994,605
1995,610
1996,670
1997,566
1998,576
1999,656
2000,670
2001,674
2002,630
2003,681
2004,714
2005,672
2006,792
2007,806
2008,778
2009,862
2010,989
2011,901
2012,796
2013,606
2014,62






