

Year_of_Publication,ARTICLE_COUNT
1886,9
1887,30
1888,30
1889,29
1890,26
1891,35
1892,29
1893,27
1894,23
1895,26
1896,22
1897,27
1898,24
1899,25
1900,28
1901,25
1902,26
1903,36
1904,31
1905,29
1906,29
1907,30
1908,33
1909,32
1910,36
1911,29
1912,34
1913,31
1914,31
1915,36
1916,28
1917,28
1918,27
1919,32
1920,30
1921,27
1922,27
1923,32
1924,27
1925,33
1926,28
1927,32
1928,31
1929,28
1930,29
1931,30
1932,39
1933,33
1934,41
1935,40
1936,33
1937,32
1938,35
1939,47
1940,48
1941,39
1942,36
1943,32
1944,29
1945,31
1946,38
1947,25
1948,36
1949,33
1950,35
1951,37
1952,42
1953,39
1954,40
1955,49
1956,35
1957,35
1958,45
1959,53
1960,50
1961,47
1962,48
1963,50
1964,51
1965,57
1966,48
1967,54
1968,45
1969,50
1970,60
1971,53
1972,60
1973,52
1974,53
1975,68
1976,54
1977,47
1978,48
1979,48
1980,102
1981,46
1982,45
1983,58
1984,52
1985,70
1986,50
1987,50
1988,50
1989,45
1990,54
1991,59
1992,57
1993,47
1994,44
1995,41
1996,41
1997,39
1998,42
1999,40
2000,44
2001,42
2002,41
2003,40
2004,41
2005,40
2006,40
2007,44
2008,41
2009,44
2010,44
2011,47
2012,41






