

Year_of_Publication,ARTICLE_COUNT
1925,50
1926,83
1927,73
1928,96
1929,80
1930,80
1931,75
1932,77
1933,69
1934,65
1935,70
1936,73
1937,67
1938,64
1939,61
1940,63
1941,65
1942,74
1943,63
1944,67
1945,56
1946,64
1947,60
1948,49
1949,57
1950,54
1951,61
1952,52
1953,49
1954,47
1955,56
1956,54
1957,51
1958,53
1959,52
1960,50
1961,44
1962,46
1963,47
1964,55
1965,61
1966,62
1967,60
1968,57
1969,52
1970,57
1971,51
1972,42
1973,47
1974,58
1975,55
1976,65
1977,75
1978,67
1979,69
1980,66
1981,73
1982,69
1983,62
1984,66
1985,49
1986,54
1987,53
1988,47
1989,62
1990,63
1991,47
1992,51
1993,49
1994,59
1995,65
1996,56
1997,54
1998,53
1999,57
2000,49
2001,50
2002,44
2003,52
2004,56
2005,94
2006,88
2007,61
2008,71
2009,68
2010,80
2011,57
2012,61
2013,16






