

Year_of_Publication,ARTICLE_COUNT
1890,11
1891,33
1892,32
1893,101
1894,107
1895,121
1896,156
1897,135
1898,139
1899,141
1900,153
1901,166
1902,172
1903,176
1904,168
1905,191
1906,183
1907,198
1908,232
1909,234
1910,253
1911,254
1912,237
1913,240
1914,258
1915,260
1916,290
1917,235
1918,220
1919,214
1920,249
1921,275
1922,278
1923,442
1924,416
1925,386
1926,374
1927,357
1928,445
1929,521
1930,493
1931,460
1932,453
1933,419
1934,471
1935,477
1936,540
1937,595
1938,586
1939,611
1940,616
1941,619
1942,666
1943,676
1944,632
1945,648
1946,762
1947,714
1948,748
1949,760
1950,850
1951,946
1952,897
1953,870
1954,941
1955,996
1956,998
1957,999
1958,1010
1959,1051
1960,1129
1961,1132
1962,1155
1963,1306
1964,1249
1965,1433
1966,1529
1967,1535
1968,1745
1969,1776
1970,1936
1971,1936
1972,2114
1973,2209
1974,2203
1975,2299
1976,2356
1977,2404
1978,2448
1979,2479
1980,2677
1981,2550
1982,2541
1983,2459
1984,2580
1985,2588
1986,2543
1987,2710
1988,2821
1989,2718
1990,2690
1991,2781
1992,2744
1993,2742
1994,2660
1995,2843
1996,2880
1997,2699
1998,2704
1999,2774
2000,2775
2001,2712
2002,2785
2003,2852
2004,2948
2005,3093
2006,3266
2007,3201
2008,3248
2009,2989
2010,3004
2011,2573
2012,2606
2013,1224
2014,115






