

Year_of_Publication,ARTICLE_COUNT
1545,1
1546,1
1552,1
1560,1
1585,2
1591,1
1602,1
1603,2
1606,1
1612,1
1613,1
1618,1
1620,1
1622,2
1628,1
1637,1
1643,1
1655,1
1660,2
1664,1
1665,131
1666,58
1668,49
1669,46
1670,49
1671,49
1672,45
1673,46
1674,35
1675,42
1676,35
1677,60
1680,1
1681,1
1683,40
1684,66
1685,78
1686,91
1687,1
1693,62
1694,44
1695,119
1696,1
1698,83
1699,68
1700,107
1702,57
1704,95
1705,1
1706,58
1708,73
1710,66
1711,3
1712,4
1713,38
1714,57
1715,2
1717,71
1720,55
1722,85
1724,70
1726,51
1727,65
1729,70
1730,6
1731,76
1733,59
1734,1
1735,79
1737,77
1738,1
1739,169
1740,3
1742,92
1744,108
1746,116
1747,1
1748,68
1749,167
1751,97
1752,2
1753,106
1755,118
1756,2
1757,116
1758,1
1759,86
1761,111
1763,56
1764,58
1765,35
1766,41
1767,52
1768,47
1769,120
1770,54
1771,60
1772,36
1773,43
1774,48
1775,51
1776,43
1777,42
1778,52
1779,39
1780,36
1781,55
1782,28
1783,87
1784,43
1785,35
1786,84
1787,69
1788,65
1789,50
1790,63
1791,94
1792,39
1793,153
1794,61
1795,44
1796,39
1797,62
1798,44
1799,152
1800,716
1801,55
1802,90
1803,52
1804,71
1805,46
1806,65
1807,65
1808,240
1809,622
1810,528
1811,471
1812,510
1813,478
1814,447
1815,569
1816,175
1817,198
1818,237
1819,207
1820,407
1821,296
1822,315
1823,263
1824,215
1825,387
1826,249
1827,265
1828,312
1829,254
1830,1250
1831,674
1832,606
1833,856
1834,980
1835,913
1836,691
1837,842
1838,593
1839,665
1840,1153
1841,1271
1842,1145
1843,1616
1844,1217
1845,1092
1846,1276
1847,1211
1848,1245
1849,1279
1850,1461
1851,1122
1852,1194
1853,2202
1854,2074
1855,2035
1856,2079
1857,2335
1858,1968
1859,2059
1860,2121
1861,2048
1862,2004
1863,2195
1864,1874
1865,1976
1866,2495
1867,3763
1868,3566
1869,3653
1870,3839
1871,3940
1872,4260
1873,3911
1874,4291
1875,4425
1876,5466
1877,5788
1878,5417
1879,6465
1880,6531
1881,6231
1882,6143
1883,7316
1884,7276
1885,7562
1886,7573
1887,7970
1888,7300
1889,8230
1890,8260
1891,8167
1892,8907
1893,9860
1894,10063
1895,10382
1896,11749
1897,11763
1898,12049
1899,13044
1900,14667
1901,14759
1902,14815
1903,14183
1904,15360
1905,15404
1906,14330
1907,15129
1908,15561
1909,15609
1910,15519
1911,15834
1912,16042
1913,15777
1914,15839
1915,15801
1916,15990
1917,14968
1918,13452
1919,13930
1920,14411
1921,14805
1922,15511
1923,16153
1924,16576
1925,17137
1926,18117
1927,18584
1928,19513
1929,19920
1930,20657
1931,20628
1932,20747
1933,20636
1934,21237
1935,21939
1936,22095
1937,22673
1938,22894
1939,22690
1940,21529
1941,21188
1942,19916
1943,18835
1944,17852
1945,18152
1946,20080
1947,22405
1948,23569
1949,24294
1950,25747
1951,25919
1952,26110
1953,27248
1954,28590
1955,28928
1956,29046
1957,29500
1958,30349
1959,30346
1960,32743
1961,33621
1962,34508
1963,35734
1964,38172
1965,39203
1966,40810
1967,42678
1968,45385
1969,47696
1970,48964
1971,50173
1972,52657
1973,53043
1974,54027
1975,55212
1976,56636
1977,58575
1978,59587
1979,59889
1980,61544
1981,61713
1982,62788
1983,62517
1984,63710
1985,65718
1986,65452
1987,66793
1988,67665
1989,68305
1990,68171
1991,70159
1992,71661
1993,73884
1994,73672
1995,73705
1996,74912
1997,75204
1998,76001
1999,76941
2000,77540
2001,77287
2002,77017
2003,77823
2004,80634
2005,80701
2006,81824
2007,79953
2008,81106
2009,77399
2010,74668
2011,58209
2012,52119
2013,31989
2014,5200






