id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/2763437,10.2307/2763437,Five Great Battles of Civilization,Alfred H. Lloyd,American Journal of Sociology,19,2,1913-09-01T00:00:00Z,pp. 166-187,The University of Chicago Press,fla,,
10.2307/2768959,10.2307/2768959,All Science Is One,T. Swann Harding,American Journal of Sociology,41,4,1936-01-01T00:00:00Z,pp. 492-503,The University of Chicago Press,fla,,"The social sciences are not more difficult or complex than the physical and natural sciences. In all the sciences the forces and phenomena are infinite in number, complicated, elusive, diverse. The method is alike in all: the workers create causes to explain observed events. There must be abstraction with the assumption that certain axioms are true unproved and that certain factors do not vary or else are negligible in effect. In physics and biology, however, the workers have shown more tendency to agree upon the use of hypotheses, axioms, specific methods, classification, mathematics, and logic than have workers in the social sciences. The scientific worker is always himself part and parcel of the material with which he works. Objectivity, exactitude, and certitude are always but very relatively attained."
10.2307/2771192,10.2307/2771192,The Sociology of Personal Behavior,Robert F. Creegan,American Journal of Sociology,50,5,1945-03-01T00:00:00Z,pp. 386-389,The University of Chicago Press,fla,,"The weakness of social psychology has been its lack of a clearly defined field of operation. It is defined here as the sociology of personal behavior, that is, as the study of the social rationale of personal behavior. For personal policy is determined, and seldom deliberately, with reference to values rather than to logic alone. Social values constitute the points of reference whereby individual behavior acquires some consistency over and above the consistency of subjective tastes. As an example we may note the status-referent rationale of many personal expressive actions in western European culture."
10.2307/2762884,10.2307/2762884,The Urban Habit of Mind,Howard B. Woolston,American Journal of Sociology,17,5,1912-03-01T00:00:00Z,pp. 602-614,The University of Chicago Press,fla,,
10.2307/2778934,10.2307/2778934,The Economics of Organization: The Transaction Cost Approach,Oliver E. Williamson,American Journal of Sociology,87,3,1981-11-01T00:00:00Z,pp. 548-577,The University of Chicago Press,fla,,"The transaction cost approach to the study of economic organization regards the transaction as the basic unit of analysis and holds that an understanding of transaction cost economizing is central to the study of organizations. Applications of this approach require that transactions be dimensionalized and that alternative governance structures be described. Economizing is accomplished by assigning transactions to governance structures in a discriminating way. The approach applies both to the determination of efficient boundaries, as between firms and markets, and to the organization of internal transactions, including the design of employment relations. The approach is compared and contrasted with selected parts of the organization theory literature."
10.2307/2765745,10.2307/2765745,Interrelations of Speech and Intelligence,David L. Mackaye,American Journal of Sociology,35,3,1929-11-01T00:00:00Z,pp. 353-368,The University of Chicago Press,fla,,"Both the methods of intelligence testing and classroom experiences indicate that ""intelligence,"" as the word is used in education, refers to abilities identical or highly correlated with speech functions. Experience provides two signs of this correlation in a quantitative sense-differing abilities in storing up words for use and differing abilities in handling quantities of verbal terms at one time. The quantitative limit may be ascertained by tests calling for word reproduction without the stimulus of a running idea. A further test reveals two types of qualitative response in the high-quantity testing group, indicating that differing behavior responses in different individuals may be based on concepts of great differences in clarity but resulting from the same word-stimulus. Difficulty in rapidly summing up relationships between words in the same run of thought creates a difficulty in handling words as symbols of ideas in place. There is a suggestion that these differences are not innate, but result from exposure to differing social environment, which education does not attempt to overcome. Success of a democracy may be intimately related to speech functions, to the extent that twilight zones of speech-that is, zones stimulating vivid rather than clear concepts-are found in different parts of the vocabulary scale in different individuals."
10.2307/2762963,10.2307/2762963,Assemblies,Charles S. Gardner,American Journal of Sociology,19,4,1914-01-01T00:00:00Z,pp. 531-555,The University of Chicago Press,fla,,
10.2307/2780240,10.2307/2780240,Introduction: Sociological and Economic Approaches to the Analysis of Social Structure,Christopher Winship AND Sherwin Rosen,American Journal of Sociology,94,,1988-01-01T00:00:00Z,pp. S1-S16,The University of Chicago Press,fla,,
10.1086/210299,10.1086/210299,Informal Politics: Street Vendors and the State in Mexico City by John C. Cross,Lauren Benton,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 290-291,The University of Chicago Press,fla,,
10.2307/2769966,10.2307/2769966,Recent Discussion Regarding Social Psychology,L. L. Bernard,American Journal of Sociology,48,1,1942-06-01T00:00:00Z,pp. 13-28,The University of Chicago Press,fla,,"Recent discussion in social psychology has emphasized especially the social situation as the primary determinaant of the behavior treated in social psychology and has turned attention to the behaviorist point of view, which stresses the physiological and neurological mechamism underlying the conditioned response to psychosocial stimuli. The social-interactionist school of social psychology has countered with a re-emphasis upon the symbolic and communicatory processes and also with a methodological protest against mere mechanical measurement and testing at the expense of sociological interpretation and sympathetic insight. Both schools have contributed toward the growth on an autonomous schience of social psychology."
10.2307/2763073,10.2307/2763073,Social Psychology of the Spectator,George Elliott Howard,American Journal of Sociology,18,1,1912-07-01T00:00:00Z,pp. 33-50,The University of Chicago Press,fla,,
10.2307/2762064,10.2307/2762064,The Evolution of Conscience as a Phase of Sociology,Walter L. Sheldon,American Journal of Sociology,8,3,1902-11-01T00:00:00Z,pp. 360-381,The University of Chicago Press,fla,,
10.1086/210300,10.1086/210300,Territorial Ambitions and the Gardens of Versailles by Chandra Mukerji,David A. Bell,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 292-293,The University of Chicago Press,fla,,
10.2307/2777052,10.2307/2777052,Neither Marx nor Durkheim . . . Perhaps Weber,Edward A. Tiryakian,American Journal of Sociology,81,1,1975-07-01T00:00:00Z,pp. 1-33,The University of Chicago Press,fla,,"What accounts for the oft-remarked dynamism of American society and its attendart flexibility of social structures, including accommodation of protest movements? I approach this question by considering the applicability of the perspectives on modern society of Marx, Durkheim, and Weber to the United States. Arguing that it is perhaps Weber who is of greatest heuristic worth in interpreting American society because of his sensitivity to the Protestant ethos, I illustrate this line of analysis by drawing attention to two major Puritan cultural themes: ""wilderness"" and ""voluntarism."""
10.2307/2763406,10.2307/2763406,The City: Suggestions for the Investigation of Human Behavior in the City Environment,Robert E. Park,American Journal of Sociology,20,5,1915-03-01T00:00:00Z,pp. 577-612,The University of Chicago Press,fla,,
10.2307/2764913,10.2307/2764913,Twenty Years of Sociology by Correspondence,Annie Marion MacLean,American Journal of Sociology,28,4,1923-01-01T00:00:00Z,pp. 461-472,The University of Chicago Press,fla,,"This paper deals with personal experience of the writer in the field of correspondence instruction in the University of Chicago, the pioneer institutions of higher learning to offer such courses. A geographical and occupational analysis of students is given which shows wide variation in locality and interests. This is followed by a discussion of method and students' reasons for taking up extra mural study of this kind. The personal as well as the intellectual character of the work is indicated."
10.2307/2768484,10.2307/2768484,The Stock Exchange and Social Control,Francis E. Merrill AND Melchior Palyi,American Journal of Sociology,43,4,1938-01-01T00:00:00Z,pp. 560-577,The University of Chicago Press,fla,,"The traditionally individualistic activities of the stock exchange have given rise to various types of social control, of which the following three are outstanding representatives: (I) the control exerted by the exchange over its members; (2) the control exerted by the exchange over the companies whose securities are listed and traded through its facilities; (3) the control exerted over the exchange itself by the federal government. Regulation of the mechanics of trading in the interest of more efficient functioning has long been carried on by the exchange itself. This type of control has been augmented and improved by the Securities and Exchange Commission. Any regulation of the exchange which would destroy the principle of the free competitive market, however, would run directly counter to the most important values of contemporary society. Such drastic control would threaten the basic complex of private property and hence would be fundamentally ineffectual."
10.1086/231326,10.1086/231326,Big Business  Strong State: Collusion and Conflict in South Korean Development  1960-990 by Eun Mee Kim,Changwon Lee,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1117-1118,The University of Chicago Press,fla,,
10.2307/2776827,10.2307/2776827,Intellectual Achievers: A Study of Eighteenth-Century Scotland,Bonnie Bullough AND Vern Bullough,American Journal of Sociology,76,6,1971-05-01T00:00:00Z,pp. 1048-1063,The University of Chicago Press,fla,,"Eighteenth-century Scotland produced many important intellectual leaders. Study of the lives of the individual achievers as well as the parishes in which they were born and educated indicates that education was the key to achievement and that most of the achievers came from urban areas, were born into the upper middle class, attended university, and lived longer thant the average person. In sum, the eighteenth-century Scottish achiever seems to resemble his twentieth-century counterpart in many ways."
