id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.1086/231326,10.1086/231326,Big Business  Strong State: Collusion and Conflict in South Korean Development  1960-990 by Eun Mee Kim,Changwon Lee,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1117-1118,The University of Chicago Press,fla,,
10.1086/231347,10.1086/231347,Immigration and the Family: Research and Policy on U.S. Immigrants  edited by Alan Booth  Ann C. Crouter  and Nancy Landale,Nancy Foner,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1156-1158,The University of Chicago Press,fla,,
10.1086/231312,10.1086/231312,The New Temperance: The American Obsession with Sin and Vice by David Wagner,John C. Burnham,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1089-1091,The University of Chicago Press,fla,,
10.1086/231321,10.1086/231321,Interaction and Grammar  edited by Elinor Ochs  Emanuel A. Schegloff  and Sandra A. Thompson,Allen D. Grimshaw,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1106-1108,The University of Chicago Press,fla,,
10.2307/2762701,10.2307/2762701,The Institution and Some of Its Original Sins,Alfred H. Lloyd,American Journal of Sociology,13,4,1908-01-01T00:00:00Z,pp. 523-540,The University of Chicago Press,fla,,
10.1086/231343,10.1086/231343,Homicide  Race  and Justice in the American West  1880-920 by Clare V. McKanna  Jr.,Richard Block,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1149-1150,The University of Chicago Press,fla,,
10.1086/231135,10.1086/231135,Detraditionalization: Critical Reflections on Authority and Identity edited by Paul Heelas  Scott Lash  and Paul Morris,David Ingram,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1727-1729,The University of Chicago Press,fla,,
10.1086/231332,10.1086/231332,When Work Disappears: The World of the New Urban Poor by William Julius Wilson,Joe R. Feagin,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1129-1130,The University of Chicago Press,fla,,
10.2307/2779759,10.2307/2779759,Class Reproduction Among Men and Women in France: Reproduction Theory on Its Home Ground,Robert V. Robinson AND Maurice A. Garnier,American Journal of Sociology,91,2,1985-09-01T00:00:00Z,pp. 250-280,The University of Chicago Press,fla,,"Through an analysis of a large survey of employment men and women in France, this article shows that French reproduction theory has overstated the role of education in reproducing class advantage from generation to generation. Among men, reproduction of control over labor power (i.e., managerial/supervisory positions) is primarily direct instead of indirect through education. At the same time, education plays no role in reproducing ownership of businesses (i.e., capitalist and petty bourgeois positions), and there is little tendency for capitalist or petty bourgeois fathers to convert their economic capital into the educational capital for their sons so that the sons can secure managerial positions. Education serves less as a reproducer of class advantage than as a vehicle of mobility into managerial positions. Although reproduction theory has tended to ignore gender differences in class reproduction , these are found to be substantial. In the reproduction of ownership, women are less likely than men to inherit a business from their father. In the reproduction of control over labor power, the considerations that are important to men's chances of acquiring managerial/supervisory positions are generally much less important to women's chances. Thus reproduction strategis that are succesful in perpetuating class privilege for men do not work as well for women."
10.1086/231136,10.1086/231136,Democracy's Discontent: America in Search of a Public Philosophy by Michael J. Sandel,Steven Tipton,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1729-1733,The University of Chicago Press,fla,,
10.1086/231302,10.1086/231302,The Social Construction of Nature: A Sociology of Ecological Enlightenment by Klaus Eder,Steven Ney,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1071-1073,The University of Chicago Press,fla,,
10.1086/231314,10.1086/231314,The Abolition of Feudalism: Peasants  Lords  and Legislators in the French Revolution by John Markoff,David Zaret,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1094-1095,The University of Chicago Press,fla,,
10.1086/231336,10.1086/231336,Development  Change  and Gender in Cairo: A View from the Household  edited by Diane Singerman and Homa Hoodfar,Valerie J. Hoffman,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1136-1138,The University of Chicago Press,fla,,
10.1086/231303,10.1086/231303,Marginalized in the Middle by Alan Wolfe,Richard Madsen,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1073-1075,The University of Chicago Press,fla,,
10.1086/231153,10.1086/231153,Drug War Politics: The Price of Denial by Eva Bertram  Morris Blachman  Kenneth Sharpe  and Peter Andreas,James A. Inciardi,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1764-1766,The University of Chicago Press,fla,,
10.2307/2781552,10.2307/2781552,Scaling the Intergenerational Continuity of Occupation: Is Occupational Inheritance Ascriptive After All?,Steve Rytina,American Journal of Sociology,97,6,1992-05-01T00:00:00Z,pp. 1658-1688,The University of Chicago Press,fla,,"A new scaling for detailed occupational categories is prepared by extracting a symmetric scaling of intergenerational continuity (SSIC) from a 308 X 308 mobility table derived from the NORC General Social Survey. The resulting SSIC scores are based solely on observed mobility among detailed occupational categories. These scores are quite similar to socioeconomic index (SEI) scores. and somewhat less similar to NORC occupational prestige scores. The SSIC values closely match average offspring's SEIs and average father's SEIs for each category, although no information about SEI or its components is employed in their calculation. This fundamentalist approach to measuring inheritance without a priori scaling reveals that mediation of occupational inheritance by education is outweighed by direct ""ascriptive"" transmission."
10.1086/231159,10.1086/231159,Religion and Mass Media: Audiences and Adaptations  edited by Daniel A. Stout and Judith M. Buddenbaum,Jennifer L. McKinney,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1776-1778,The University of Chicago Press,fla,,
10.2307/2775700,10.2307/2775700,The Professional Self-Concept of Music Students,Charles Kadushin,American Journal of Sociology,75,3,1969-11-01T00:00:00Z,pp. 389-404,The University of Chicago Press,fla,,"As a result of their study of a medical school, Becker and his associates suggest that students in professional schools acquire only the selfconcept of ""student."" In contrast, Merton and his associates, in their studies of medical and law schools, propose that students gradually acquire the self-concept of ""professional."" The issue is important to the theory of adult socialization. Music conservatories afford an excellent test case because music students engage in professional activities while they are still in school. Multivariate analyses of the effects of professional activity and the effects of the music school suggest that both actual professional activity and the professional school itself contribute to the development of a professional selfconcept. But the variables interact. Students who do not engage in ""clinical"" activities (professional work) do not generally acquire a high self-concept. Much of the effect of the music conservatories is not through direct social contacts with teachers or students. Rather, students acquire musical skills which are the prerequisite for professional work and for symbolic rewards, both of which lead to a professional self-concept."
10.1086/231319,10.1086/231319,Between Politics and Reason: The Drug Legalization Debate by Erich Goode,James A. Inciardi,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1103-1104,The University of Chicago Press,fla,,
10.1086/231164,10.1086/231164,Time Pioneers: Flexible Working Time and New Lifestyles by Karl H. Horning  Anette Gerhard  and Matthias Michailow,Graeme Salaman,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1785-1787,The University of Chicago Press,fla,,
10.1086/231161,10.1086/231161,Social Change and the Middle Classes  edited by Tim Butler and Mike Savage,Mark Western,American Journal of Sociology,102,6,1997-05-01T00:00:00Z,pp. 1779-1781,The University of Chicago Press,fla,,
10.2307/2780645,10.2307/2780645,Novel Readings: The Social Organization of Interpretation,Marjorie L. DeVault,American Journal of Sociology,95,4,1990-01-01T00:00:00Z,pp. 887-921,The University of Chicago Press,fla,,"Theories of interpretation must explain not only the accuracy of interpretation but also the divergence between readings that arises from the socially situated nature of any reading. In this article, the sources of variant readings of a single novel ( The Late Bourgeois World, by Nadine Gordimer) are examined. Analysis of published statements (reviews and critical analyses) and comparison of these professional accounts with the author's own ""lay"" reading highlight the effects of the readers' genders, historical contexts, and purposes for reading on their constructions of the novel's content. The analysis demonstrates the collective character and significance of ""novel readings,"" specially those produced by cultural ""outsiders."""
10.1086/231328,10.1086/231328,Desert Capitalism: Maquiladoras in North America's Western Industrial Corridor by Kathryn Kopinak,Leslie Sklair,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1121-1122,The University of Chicago Press,fla,,
10.2307/3003891,10.2307/3003891,Comment: Controversies and Evidence in the Market Transition Debate,Yang Cao AND Victor G. Nee,American Journal of Sociology,105,4,2000-01-01T00:00:00Z,pp. 1175-1189,The University of Chicago Press,fla,,
10.2307/2769292,10.2307/2769292,Morale in Fascist Italy in Wartime,Saville R. Davis,American Journal of Sociology,47,3,1941-11-01T00:00:00Z,pp. 434-438,The University of Chicago Press,fla,,"Fascist propaganda was not successful on the home front. The outcome of Italian military ventures in Albania and in Libya was a logical consequence. While allowed to circulate, Swiss and Vatican newspapers were extremely popular while Italian papers were accepted with contemptuous amusement. By means of the foreign press, short wave radio, and the grapevine the Italian  people have kept surprisingly well informed. It appears that the Italians would rather lose to the British than to the Germans."
10.1086/231324,10.1086/231324,Modernity and the State: East  West by Claus Offe,Fred Block,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1113-1114,The University of Chicago Press,fla,,
