id,doi,term,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/2776463,10.2307/2776463,Sophisticated,On Changing Matchmaking  Marriage  and Fertility in Israel: Some Findings  Problems  and Hypotheses,Judah Matras,American Journal of Sociology,79,2,1973-09-01T00:00:00Z,pp. 364-388,The University of Chicago Press,fla,,"Recent trends in marriage and fertility in Israel are reviewed. Patterns of age at marriage and mate selection among Jewish population groups of Middle Eastern (Oriental) origin are contrasted with those of the Moslem Arab population. The institutionalization of fertility control and declining fertility among the Oriental Jewish couples marrying in Israel is contrasted with sustained high fertility of Moslem Arab couples. The relationship between change in matchmaking and amrriage patterns and change in matchmaking and marriage patterns is explored, and three conditions under which young couples beome independent decision-making units and try to control fertility are hypothesized."
10.1086/210299,10.1086/210299,Sophisticated,Informal Politics: Street Vendors and the State in Mexico City by John C. Cross,Lauren Benton,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 290-291,The University of Chicago Press,fla,,
10.2307/2770221,10.2307/2770221,Sophisticated,Culture and Education in the Midwestern Highlands of Guatemala,Robert Redfield,American Journal of Sociology,48,6,1943-05-01T00:00:00Z,pp. 640-648,The University of Chicago Press,fla,,"Education is here indentified with ""the Process of cultural transmission and renewal."" Rural Ladinos of midwestern Guatemala are, with respect to education, intermediate between tribal and urban society. Schools exist, but they have little importance. On the other hand, ceremony and myth do not play a large par in the transfer of tradition. The attention of the investigator is therefore drawn to the more elementary and universal aspects of education: the informal day-to-day situations in which tradition is communicated or modified. Such a situation is analyzed, and the educational importance of these occurrences remarked, in this Guatemalan society where schools represent regulation largely external to the culture and where important traditional ceremonials are lacking."
10.2307/2771857,10.2307/2771857,Sophisticated,Empirical Training and Sociological Thought,Svend Riemer,American Journal of Sociology,59,2,1953-09-01T00:00:00Z,pp. 107-112,The University of Chicago Press,fla,,"Contemporary sociology wavers between pragmatic and positivistic orientations. Although attention is paid to the relative validity of different approaches to empirical investigation, constant attempts are made to freeze sociological framework into a permanent mold. Terminology is standardized rather than evaluated for its own utility. Different theories compete for all-purpose acceptance. Rationalization for the commitment to fixed theoretical structures may be seen in the increasing bureaucratization of sociological research, which cannot tolerate theoretical uncertainties."
10.1086/421357,10.1086/421357,Sophisticated,From Class to Culture,Michael Hechter,American Journal of Sociology,110,2,2004-09-01T00:00:00Z,pp. 400-445,The University of Chicago Press,fla,,"This article contends that class politics has receded in advanced capitalist societies during the last century, while cultural politics has increased, and it focuses on social and political institutions, rather than on occupational structure, to explain the shift. Participation in solidary groups has consequences for the social bases of politics, and the political salience of such groups is affected by social institutions that are independent of occupational structure. The first such institution is direct rule. Whereas indirect rule tends to promote class politics, direct rule favors cultural politics. Rapid expansion of direct rule since the 1960s has muted class politics and increased cultural politics. This relationship is not deterministic, however; other institutions can mitigate the effects of direct rule on the social bases of politics."
10.1086/210300,10.1086/210300,Sophisticated,Territorial Ambitions and the Gardens of Versailles by Chandra Mukerji,David A. Bell,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 292-293,The University of Chicago Press,fla,,
10.2307/2775347,10.2307/2775347,Sophisticated,Some Current Conceptualizations in the Field of Conflict,Jessie Bernard,American Journal of Sociology,70,4,1965-01-01T00:00:00Z,pp. 442-454,The University of Chicago Press,fla,,"There has been a remarkable revival of interest in the field of conflict in the last decade, due in part to the work of Von Neumann and Morgenstern on the theory of games and the use of this work by the Department of Defense. Much of this work has a psychological orientation. There are differences in emphasis between the relationalistic (strategic) and the non-rationalistic approaches. Schelling has transformed classic game theory into a theory of interaction. Rapoport rejects the game approach as leading to absurd results. Richardson's collective-behavior model is espoused by both Rapoport and Boulding, but it is used differently by them. The bureaucratization of violence has been commented on by Hannah Arendt. The theory of non-violence has not been cultivated; but Schelling's concept of the co-ordination game may prove useful. Sociological research tends to be empirical rather than theoretical, but it now applies more sophisticated techniques than in the past. Experimental studies, based on laboratory ""games"" and simulation studies, combine theoretical and empirical approaches. Some of these games are as useful as projective tests as they are as techniques for studying conflict."
10.2307/2772217,10.2307/2772217,Sophisticated,On Group Cohesiveness,Neal Gross AND William E. Martin,American Journal of Sociology,57,6,1952-05-01T00:00:00Z,pp. 546-564,The University of Chicago Press,fla,,In certain studies of the cohesiveness of small groups the operational definition of cohesiveness are logically deficient because they do not measure the dimensions of cohesiveness as nominally defined by the investigators. These studies are empirically deficient because single measurement of cohesiveness of the same groups are not positively and highly correlated. A unitary concept of cohesiveness is unacceptable because of the incorrect assumption that different aspect of cohesiveness are highly correlated. Additional limitations are lack of concern for the importance of the negative case in scientific investigations and overgeneralization. Alternative operational and conceptual definitions are suggested.
10.1086/231326,10.1086/231326,Sophisticated,Big Business  Strong State: Collusion and Conflict in South Korean Development  1960-990 by Eun Mee Kim,Changwon Lee,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1117-1118,The University of Chicago Press,fla,,
10.2307/2777856,10.2307/2777856,Sophisticated,Is It True What They Say About Daddy?,Leonard Broom AND F. Lancaster Jones AND Patrick McDonnell AND Paul Duncan-Jones,American Journal of Sociology,84,2,1978-09-01T00:00:00Z,pp. 417-426,The University of Chicago Press,fla,,"The traditional method for assesing generational mobility hass been exposed to remeasurement studies but not to the test of an alternative questioning strategy. This paper describes a design in which intergenerational mobility is studies from two perspectives. In the conventional approach sons report on their own statuses and give proxy reports for parental statuses. In our second perspective parents are questioned about themselves and give proxy information on their children. Estimates of a five-variable status-attainment model for eachperspective yield similar results, but some correlations and regressions differ significantly because nonrandom errors influence the reporting of socioeconomic data among adults. Our anomalous findings suggest that mobility researchers might consider employing both questioning strategies as a guide to potential biases until a definitive test shows that the caution prescribed in this paper is unwarranted. Consumers of mobility studies are entitled to reserve judgment on data that depend entirely on the traditional approach even though current research adheres to it almost without exception."
