id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.1086/210299,10.1086/210299,<i>Informal Politics: Street Vendors and the State in Mexico City</i> by John C. Cross,Lauren Benton,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 290-291,The University of Chicago Press,fla,,
10.2307/2782677,10.2307/2782677,Leaps of Faith: Shifting Currents in Critical Sociology of Education,Scott Davies,American Journal of Sociology,100,6,1995-05-01T00:00:00Z,pp. 1448-1478,The University of Chicago Press,fla,,"The sociology of education is fraught with noncommunicating paradigms, particularly between ""critical"" and ""mainstream"" approaches. This article outlines and explains this paradigm split and the resulting shifts of critical theories from ""reproduction"" to ""resistance"" to ""post-Marxist"" versions, then explains how these approaches differ from the mainstream and what their internal dynamic is. The article argues that the ""immanentism""-the practice of asserting a necessary movement of history that confers subordinate groups with objective interest in radical change-of critical approaches is the source of theoretical difference and that the trajectory of critical theories reflects shifting conceptions of how this change will occur."
10.1086/210300,10.1086/210300,<i>Territorial Ambitions and the Gardens of Versailles</i> by Chandra Mukerji,David A. Bell,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 292-293,The University of Chicago Press,fla,,
10.1086/231326,10.1086/231326,Big Business  Strong State: Collusion and Conflict in South Korean Development  1960-1990 by Eun Mee Kim,Changwon Lee,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1117-1118,The University of Chicago Press,fla,,
10.1086/210282,10.1086/210282,<i>The Future of Anomie Theory </i> edited by Nikos Passas and Robert Agnew,John H. Gagnon,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 257-258,The University of Chicago Press,fla,,
10.1086/231117,10.1086/231117,<i>Selling the Air: A Critique of the Policy of Commercial Broadcasting in the United States</i> by Thomas Streeter,William Hoynes,American Journal of Sociology,102,5,1997-03-01T00:00:00Z,pp. 1494-1496,The University of Chicago Press,fla,,
10.1086/231347,10.1086/231347,Immigration and the Family: Research and Policy on U.S. Immigrants  edited by Alan Booth  Ann C. Crouter  and Nancy Landale,Nancy Foner,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1156-1158,The University of Chicago Press,fla,,
10.1086/210274,10.1086/210274,<i>The Myth of Green Marketing: Tending Our Goats at the Edge of Apocalypse</i> by Toby M. Smith,John C. Leggett,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 241-242,The University of Chicago Press,fla,,
10.1086/231312,10.1086/231312,The New Temperance: The American Obsession with Sin and Vice by David Wagner,John C. Burnham,American Journal of Sociology,103,4,1998-01-01T00:00:00Z,pp. 1089-1091,The University of Chicago Press,fla,,
10.1086/210313,10.1086/210313,<i>For the Sake of the Children: The Social Organization of Responsibility in the Hospital and the Home</i> by Carol A. Heimer and Lisa R. Staffen,Monica J. Casper,American Journal of Sociology,105,1,1999-07-01T00:00:00Z,pp. 317-319,The University of Chicago Press,fla,,
