

Year_of_Publication,ARTICLE_COUNT
1873,1
1874,2
1875,1
1878,1
1879,3
1880,3
1881,1
1883,2
1884,4
1885,3
1886,4
1887,1
1889,2
1890,1
1891,2
1892,2
1893,2
1896,2
1898,3
1899,2
1901,1
1902,1
1903,1
1905,1
1906,4
1907,5
1908,2
1909,3
1910,5
1911,3
1912,3
1913,3
1915,2
1917,3
1918,1
1919,3
1921,5
1923,2
1925,2
1926,4
1927,1
1929,1
1930,3
1931,8
1932,6
1933,1
1934,1
1936,2
1937,2
1939,5
1940,2
1941,1
1942,2
1943,4
1945,1
1946,3
1947,1
1948,2
1949,3
1950,5
1951,5
1952,2
1953,5
1954,3
1956,2
1957,7
1958,3
1959,7
1960,5
1961,6
1962,7
1963,8
1964,7
1965,7
1966,17
1967,4
1968,7
1969,3
1970,10
1971,9
1972,10
1973,5
1974,11
1975,8
1976,4
1977,15
1978,17
1979,13
1980,12
1981,14
1982,11
1983,12
1984,15
1985,17
1986,30
1987,23
1988,27
1989,25
1990,25
1991,28
1992,30
1993,30
1994,30
1995,52
1996,55
1997,69
1998,67
1999,73
2000,79
2001,81
2002,80
2003,89
2004,106
2005,91
2006,132
2007,108
2008,118
2009,132
2010,121
2011,119
2012,113
2013,42
2014,2






