

Year_of_Publication,ARTICLE_COUNT
1863,1
1864,1
1866,1
1868,1
1870,1
1871,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1886,2
1889,3
1892,1
1893,2
1894,1
1896,1
1897,1
1898,2
1902,1
1906,1
1909,1
1910,1
1911,1
1912,2
1921,1
1924,1
1925,1
1928,1
1930,1
1931,1
1932,1
1936,1
1937,1
1939,2
1940,1
1942,1
1945,1
1948,3
1951,3
1952,1
1954,1
1955,1
1956,1
1957,1
1958,2
1959,1
1961,2
1963,1
1964,4
1965,2
1966,1
1967,1
1968,5
1969,3
1970,1
1972,3
1973,2
1974,2
1976,1
1977,2
1978,1
1979,5
1980,1
1981,2
1982,5
1983,6
1984,2
1985,2
1986,3
1987,1
1989,2
1990,2
1991,1
1992,1
1993,7
1994,6
1995,4
1996,4
1997,3
1998,5
1999,7
2000,9
2001,14
2002,5
2003,18
2004,12
2005,18
2006,29
2007,37
2008,49
2009,55
2010,61
2011,76
2012,69
2013,20
2014,2






