

Year_of_Publication,ARTICLE_COUNT
1881,1
1888,1
1895,1
1900,1
1903,1
1908,1
1911,1
1916,1
1920,2
1922,1
1926,1
1930,2
1931,2
1932,2
1933,1
1934,1
1937,3
1938,1
1939,2
1941,1
1942,1
1943,1
1945,2
1946,2
1949,3
1950,2
1951,2
1952,1
1953,7
1954,3
1955,3
1956,8
1957,5
1958,2
1959,7
1960,4
1961,5
1962,5
1963,3
1964,7
1965,6
1966,4
1967,6
1968,11
1969,4
1970,9
1971,2
1972,6
1973,11
1974,9
1975,6
1976,9
1977,9
1978,12
1979,9
1980,10
1981,6
1982,9
1983,11
1984,4
1985,14
1986,13
1987,18
1988,17
1989,21
1990,21
1991,29
1992,26
1993,25
1994,32
1995,43
1996,51
1997,49
1998,68
1999,70
2000,74
2001,78
2002,99
2003,103
2004,117
2005,119
2006,118
2007,145
2008,146
2009,149
2010,107
2011,139
2012,142
2013,29






