

Year_of_Publication,ARTICLE_COUNT
1783,1
1834,1
1839,1
1861,1
1873,1
1876,3
1878,3
1879,1
1880,3
1881,4
1882,2
1884,2
1886,2
1887,1
1888,4
1889,2
1891,2
1892,5
1893,2
1894,1
1895,2
1896,1
1898,1
1899,3
1900,3
1901,4
1902,6
1903,3
1904,1
1905,3
1906,4
1907,3
1908,3
1909,3
1910,4
1911,4
1912,2
1913,4
1914,3
1915,4
1916,2
1917,1
1918,1
1920,1
1921,2
1922,1
1923,3
1924,6
1925,5
1926,3
1927,5
1928,5
1929,4
1930,12
1931,19
1932,5
1933,7
1934,11
1935,6
1936,10
1937,13
1938,8
1939,6
1940,8
1941,8
1942,6
1943,1
1944,7
1945,10
1946,6
1947,5
1948,12
1949,6
1950,16
1951,13
1952,10
1953,14
1954,12
1955,12
1956,20
1957,16
1958,16
1959,16
1960,25
1961,19
1962,19
1963,21
1964,31
1965,26
1966,32
1967,27
1968,33
1969,31
1970,39
1971,47
1972,39
1973,24
1974,29
1975,51
1976,57
1977,48
1978,49
1979,59
1980,50
1981,66
1982,67
1983,48
1984,80
1985,77
1986,80
1987,79
1988,78
1989,103
1990,101
1991,116
1992,134
1993,152
1994,156
1995,175
1996,212
1997,209
1998,218
1999,242
2000,240
2001,278
2002,262
2003,268
2004,301
2005,326
2006,355
2007,355
2008,361
2009,338
2010,317
2011,330
2012,342
2013,90
2014,3






