

Year_of_Publication,ARTICLE_COUNT
1783,1
1873,1
1880,1
1881,3
1882,2
1883,2
1884,1
1885,1
1887,2
1888,2
1890,3
1892,1
1893,3
1894,2
1895,3
1896,1
1897,5
1898,3
1899,5
1900,1
1901,3
1902,4
1903,5
1904,7
1905,2
1906,8
1907,10
1908,7
1909,6
1910,4
1911,8
1912,9
1913,7
1914,8
1915,6
1916,5
1917,8
1918,5
1919,4
1920,4
1921,11
1922,6
1923,17
1924,3
1925,6
1926,6
1927,11
1928,9
1929,8
1930,15
1931,12
1932,17
1933,16
1934,14
1935,13
1936,9
1937,13
1938,10
1939,15
1940,15
1941,17
1942,20
1943,7
1944,18
1945,15
1946,10
1947,23
1948,19
1949,18
1950,32
1951,29
1952,17
1953,18
1954,23
1955,32
1956,22
1957,36
1958,27
1959,40
1960,26
1961,36
1962,34
1963,43
1964,33
1965,41
1966,61
1967,65
1968,54
1969,59
1970,62
1971,80
1972,82
1973,84
1974,63
1975,84
1976,86
1977,103
1978,93
1979,111
1980,82
1981,106
1982,106
1983,112
1984,116
1985,127
1986,109
1987,127
1988,136
1989,130
1990,176
1991,170
1992,177
1993,222
1994,238
1995,233
1996,258
1997,261
1998,285
1999,292
2000,344
2001,342
2002,332
2003,348
2004,412
2005,408
2006,443
2007,452
2008,477
2009,487
2010,383
2011,370
2012,352
2013,133
2014,5






