

Year_of_Publication,ARTICLE_COUNT
1867,1
1876,3
1877,1
1878,2
1879,2
1880,4
1882,3
1883,8
1884,4
1885,4
1886,4
1887,7
1888,2
1889,4
1890,3
1891,2
1892,8
1893,6
1894,9
1895,7
1896,8
1897,5
1898,10
1899,8
1900,7
1901,11
1902,10
1903,8
1904,8
1905,9
1906,4
1907,7
1908,14
1909,6
1910,3
1911,8
1912,10
1913,8
1914,10
1915,5
1916,11
1917,6
1918,6
1919,13
1920,11
1921,5
1922,8
1923,7
1924,6
1925,11
1926,12
1927,9
1928,8
1929,4
1930,10
1931,9
1932,7
1933,13
1934,8
1935,6
1936,10
1937,9
1938,8
1939,9
1940,5
1941,10
1942,6
1943,5
1944,1
1945,8
1946,14
1947,6
1948,14
1949,7
1950,9
1951,10
1952,11
1953,14
1954,18
1955,19
1956,13
1957,10
1958,17
1959,17
1960,16
1961,23
1962,8
1963,27
1964,8
1965,17
1966,10
1967,10
1968,9
1969,22
1970,13
1971,19
1972,19
1973,19
1974,27
1975,22
1976,20
1977,17
1978,20
1979,31
1980,20
1981,27
1982,23
1983,20
1984,32
1985,26
1986,32
1987,37
1988,35
1989,46
1990,45
1991,32
1992,37
1993,51
1994,66
1995,59
1996,63
1997,80
1998,89
1999,70
2000,89
2001,104
2002,73
2003,113
2004,132
2005,114
2006,146
2007,168
2008,152
2009,186
2010,166
2011,167
2012,169
2013,62






