

Year_of_Publication,ARTICLE_COUNT
1881,1
1888,1
1908,1
1909,1
1916,1
1917,1
1923,1
1925,1
1930,1
1931,1
1934,1
1936,1
1938,1
1942,1
1946,1
1948,4
1949,3
1950,6
1951,5
1952,2
1953,3
1954,8
1955,6
1956,8
1957,8
1958,5
1959,3
1960,6
1961,6
1962,5
1963,6
1964,3
1965,10
1966,5
1967,9
1968,13
1969,12
1970,9
1971,14
1972,10
1973,18
1974,16
1975,22
1976,25
1977,19
1978,25
1979,22
1980,26
1981,31
1982,35
1983,30
1984,35
1985,36
1986,41
1987,44
1988,50
1989,43
1990,67
1991,59
1992,77
1993,83
1994,116
1995,117
1996,135
1997,126
1998,156
1999,152
2000,198
2001,182
2002,189
2003,241
2004,254
2005,277
2006,360
2007,297
2008,335
2009,362
2010,333
2011,349
2012,311
2013,53






