

Year_of_Publication,ARTICLE_COUNT
1896,1
1904,1
1927,1
1928,1
1930,1
1934,1
1935,2
1937,1
1938,3
1940,1
1941,2
1942,1
1943,2
1945,1
1946,6
1947,1
1948,5
1949,6
1950,10
1951,6
1952,4
1953,7
1954,4
1955,6
1956,10
1957,11
1958,8
1959,9
1960,12
1961,8
1962,12
1963,14
1964,18
1965,24
1966,23
1967,15
1968,17
1969,19
1970,30
1971,24
1972,25
1973,21
1974,23
1975,31
1976,31
1977,30
1978,36
1979,25
1980,30
1981,29
1982,41
1983,29
1984,40
1985,41
1986,39
1987,35
1988,52
1989,64
1990,63
1991,47
1992,64
1993,73
1994,70
1995,92
1996,103
1997,168
1998,168
1999,170
2000,146
2001,124
2002,143
2003,146
2004,168
2005,190
2006,286
2007,249
2008,266
2009,266
2010,231
2011,239
2012,258
2013,49
2014,1






