

Year_of_Publication,ARTICLE_COUNT
1729,1
1734,1
1769,1
1783,1
1793,1
1794,1
1800,6
1805,1
1807,5
1808,1
1810,3
1811,2
1812,1
1813,2
1814,1
1815,2
1816,2
1817,5
1818,1
1819,3
1820,7
1821,1
1822,1
1823,2
1824,3
1825,1
1826,2
1827,4
1828,5
1829,1
1830,7
1831,4
1832,7
1833,7
1834,7
1835,1
1836,4
1838,2
1839,5
1840,1
1841,3
1842,3
1843,3
1844,6
1845,4
1846,6
1847,8
1848,3
1849,2
1850,6
1851,3
1852,1
1853,3
1854,7
1855,1
1856,6
1857,6
1858,1
1859,5
1860,6
1861,13
1862,9
1863,5
1864,7
1865,5
1866,4
1867,3
1868,4
1869,2
1870,5
1871,1
1872,5
1873,6
1874,7
1875,4
1876,12
1877,4
1878,11
1879,8
1880,19
1881,14
1882,16
1883,14
1884,15
1885,10
1886,15
1887,12
1888,19
1889,13
1890,10
1891,17
1892,21
1893,19
1894,14
1895,20
1896,20
1897,14
1898,24
1899,25
1900,18
1901,26
1902,26
1903,25
1904,26
1905,19
1906,30
1907,31
1908,39
1909,24
1910,30
1911,31
1912,33
1913,33
1914,32
1915,30
1916,31
1917,29
1918,24
1919,35
1920,35
1921,45
1922,34
1923,44
1924,45
1925,46
1926,48
1927,43
1928,46
1929,37
1930,61
1931,75
1932,62
1933,57
1934,58
1935,63
1936,57
1937,70
1938,54
1939,62
1940,45
1941,56
1942,44
1943,30
1944,37
1945,50
1946,60
1947,64
1948,82
1949,75
1950,97
1951,101
1952,97
1953,104
1954,113
1955,116
1956,129
1957,143
1958,135
1959,152
1960,150
1961,166
1962,146
1963,170
1964,166
1965,194
1966,212
1967,211
1968,241
1969,261
1970,255
1971,304
1972,289
1973,278
1974,289
1975,335
1976,298
1977,363
1978,383
1979,396
1980,373
1981,408
1982,422
1983,412
1984,453
1985,502
1986,505
1987,540
1988,553
1989,588
1990,678
1991,677
1992,751
1993,949
1994,1041
1995,1095
1996,1209
1997,1375
1998,1469
1999,1613
2000,1686
2001,1702
2002,1719
2003,1906
2004,2191
2005,2306
2006,2636
2007,2760
2008,2781
2009,3034
2010,2712
2011,2720
2012,2682
2013,770
2014,22






