

Year_of_Publication,ARTICLE_COUNT
1896,1
1897,3
1901,1
1906,1
1907,1
1910,3
1911,1
1913,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,4
1922,3
1923,2
1924,2
1925,1
1926,1
1927,1
1928,1
1929,1
1931,2
1933,1
1934,3
1935,1
1937,2
1938,3
1939,2
1940,4
1941,2
1942,3
1943,8
1944,2
1945,4
1946,8
1947,2
1948,1
1949,6
1950,2
1951,3
1952,6
1953,3
1954,6
1955,2
1956,6
1957,10
1958,6
1959,8
1960,4
1961,4
1962,10
1963,5
1964,5
1965,4
1966,4
1967,4
1968,4
1969,2
1970,2
1971,5
1972,13
1973,7
1974,7
1975,5
1976,8
1977,6
1978,12
1979,8
1980,3
1981,9
1982,12
1983,8
1984,6
1985,5
1986,8
1987,8
1988,4
1989,4
1990,7
1991,6
1992,5
1993,6
1994,6
1995,3
1996,5
1997,77
1998,57
1999,48
2000,7
2001,3
2002,5
2003,5
2004,5
2005,11
2006,10
2007,12
2008,17
2009,6
2010,8
2011,6
2012,5
2013,3






