

Year_of_Publication,ARTICLE_COUNT
1936,3
1937,2
1938,3
1939,2
1940,4
1941,1
1943,7
1944,2
1945,3
1946,2
1948,5
1950,3
1951,6
1952,4
1953,6
1954,7
1955,5
1956,7
1957,5
1958,8
1959,6
1960,9
1961,12
1962,3
1963,9
1964,10
1965,8
1966,7
1967,8
1968,6
1969,5
1970,8
1971,8
1972,12
1973,11
1974,7
1975,5
1976,10
1977,10
1978,4
1979,14
1980,13
1981,7
1982,5
1983,9
1984,14
1985,7
1986,9
1987,7
1988,10
1989,9
1990,10
1991,4
1992,9
1993,12
1994,3
1995,9
1996,13
1997,8
1998,3
1999,4
2000,5
2001,6
2002,7
2003,5
2004,6
2005,6
2006,7
2007,6
2008,4
2009,9
2010,4
2011,5
2012,7






