

Year_of_Publication,ARTICLE_COUNT
1925,2
1926,1
1927,2
1928,3
1929,3
1930,1
1931,3
1932,2
1933,1
1934,1
1935,1
1936,1
1937,3
1938,3
1939,1
1940,1
1942,6
1943,2
1944,1
1945,1
1946,5
1947,5
1948,1
1949,4
1950,6
1951,3
1952,3
1953,4
1954,1
1955,5
1956,5
1957,1
1958,3
1959,2
1960,3
1961,3
1962,5
1963,3
1964,4
1965,7
1966,6
1967,9
1968,6
1969,4
1970,4
1971,8
1972,4
1973,5
1974,3
1975,1
1976,10
1977,13
1978,8
1979,3
1980,5
1981,12
1982,6
1983,6
1984,2
1985,3
1986,2
1987,4
1988,4
1989,9
1990,7
1991,5
1992,7
1993,3
1994,3
1995,7
1996,4
1997,4
1998,6
1999,2
2000,4
2001,5
2002,6
2003,6
2004,8
2005,6
2006,8
2007,5
2008,10
2009,7
2010,9
2011,2
2012,5






