

Year_of_Publication,ARTICLE_COUNT
1805,1
1809,1
1810,1
1818,1
1841,2
1845,2
1848,1
1851,1
1853,1
1855,1
1856,3
1857,1
1858,2
1859,3
1860,1
1861,2
1862,2
1863,1
1866,1
1868,2
1870,2
1871,1
1872,3
1873,2
1874,4
1875,1
1876,1
1877,2
1878,2
1879,3
1880,3
1881,3
1882,3
1883,8
1884,4
1885,6
1886,2
1887,1
1888,1
1889,6
1890,6
1891,5
1892,4
1893,3
1894,8
1895,10
1896,3
1897,6
1898,5
1899,14
1900,6
1901,11
1902,20
1903,17
1904,20
1905,14
1906,34
1907,21
1908,23
1909,24
1910,30
1911,37
1912,30
1913,32
1914,41
1915,42
1916,49
1917,46
1918,61
1919,66
1920,53
1921,59
1922,67
1923,86
1924,77
1925,91
1926,88
1927,107
1928,125
1929,127
1930,128
1931,130
1932,138
1933,129
1934,139
1935,156
1936,168
1937,176
1938,185
1939,181
1940,215
1941,212
1942,199
1943,232
1944,184
1945,229
1946,251
1947,281
1948,269
1949,305
1950,341
1951,391
1952,397
1953,480
1954,509
1955,510
1956,565
1957,656
1958,746
1959,866
1960,968
1961,1172
1962,1287
1963,1465
1964,1688
1965,1812
1966,2006
1967,2395
1968,2534
1969,2682
1970,2801
1971,2949
1972,3005
1973,3217
1974,3243
1975,3467
1976,3538
1977,3686
1978,3709
1979,3913
1980,3972
1981,3886
1982,4111
1983,4021
1984,4287
1985,4240
1986,4396
1987,4478
1988,4578
1989,4593
1990,4714
1991,4733
1992,4818
1993,4881
1994,4848
1995,5006
1996,5123
1997,5111
1998,5238
1999,5296
2000,5328
2001,5290
2002,5198
2003,5378
2004,5447
2005,5414
2006,5565
2007,5593
2008,5194
2009,5265
2010,4484
2011,4107
2012,3714
2013,980
2014,12






