

Year_of_Publication,ARTICLE_COUNT
1896,3
1897,2
1898,3
1899,2
1900,5
1901,2
1902,3
1903,2
1904,2
1905,4
1906,3
1907,4
1908,5
1909,4
1910,5
1911,5
1912,9
1913,6
1914,6
1915,5
1916,8
1917,2
1918,3
1919,4
1920,5
1922,3
1923,2
1924,3
1925,4
1926,5
1927,4
1928,4
1929,5
1930,6
1931,6
1932,1
1933,3
1934,7
1935,3
1936,3
1938,7
1939,8
1940,4
1941,6
1942,5
1943,8
1944,3
1945,8
1946,3
1947,4
1948,6
1949,7
1950,3
1951,5
1952,5
1953,5
1954,3
1955,6
1956,4
1957,3
1958,3
1959,1
1960,2
1961,5
1962,4
1963,4
1964,2
1965,5
1966,3
1967,8
1968,5
1969,5
1970,5
1971,5
1972,9
1973,14
1974,4
1975,7
1976,9
1977,2
1978,6
1979,9
1980,3
1981,5
1982,2
1983,4
1984,8
1985,6
1986,5
1987,6
1988,5
1989,3
1990,5
1991,3
1992,9
1993,2
1994,3
1995,9
1996,6
1997,46
1998,57
1999,51
2000,6
2001,9
2002,8
2003,5
2004,9
2005,8
2006,8
2007,9
2008,9
2009,7
2010,6
2011,10
2012,4
2013,4






