

Year_of_Publication,ARTICLE_COUNT
1936,6
1937,3
1938,5
1939,5
1940,3
1941,3
1942,3
1943,6
1944,3
1945,3
1946,12
1947,7
1948,8
1949,3
1950,8
1951,8
1952,5
1953,6
1954,5
1955,4
1956,6
1957,4
1958,5
1959,5
1960,3
1961,6
1962,5
1963,5
1964,4
1965,7
1966,6
1967,8
1968,5
1969,3
1970,5
1971,5
1972,2
1973,3
1974,7
1975,7
1976,6
1977,9
1978,5
1979,11
1980,3
1981,4
1982,7
1983,10
1984,5
1985,7
1986,5
1987,6
1988,11
1989,9
1990,7
1991,9
1992,9
1993,11
1994,7
1995,8
1996,5
1997,9
1998,5
1999,6
2000,5
2001,4
2002,4
2003,8
2004,6
2005,7
2006,3
2007,5
2008,8
2009,9
2010,5
2011,5
2012,8
2013,2






