

Year_of_Publication,ARTICLE_COUNT
1925,3
1926,6
1927,4
1928,6
1929,6
1930,4
1931,4
1932,7
1933,1
1934,6
1935,4
1936,7
1937,5
1938,5
1939,3
1940,3
1941,5
1942,2
1943,3
1944,6
1945,6
1946,3
1947,6
1948,6
1949,7
1950,4
1951,4
1952,3
1953,3
1954,5
1955,6
1956,2
1957,3
1958,3
1959,3
1960,3
1961,1
1962,2
1964,2
1965,3
1966,5
1967,5
1968,3
1969,4
1970,1
1971,5
1972,3
1973,4
1974,5
1975,4
1976,3
1977,5
1978,3
1979,3
1980,4
1981,5
1982,4
1983,3
1984,5
1985,6
1986,2
1987,4
1988,8
1989,6
1990,10
1991,6
1992,7
1993,4
1994,3
1995,8
1996,10
1997,8
1998,4
1999,7
2000,8
2001,9
2002,5
2003,4
2004,5
2005,4
2006,1
2007,5
2008,11
2009,10
2010,8
2011,2
2012,6
2013,1






