

Year_of_Publication,ARTICLE_COUNT
1665,2
1669,1
1670,2
1674,4
1675,1
1685,1
1695,2
1698,2
1700,2
1713,1
1717,1
1729,1
1739,2
1742,1
1744,1
1755,2
1757,1
1767,1
1769,2
1772,1
1774,2
1775,1
1776,1
1777,1
1779,2
1781,1
1782,1
1792,1
1800,2
1806,2
1808,2
1809,1
1810,4
1811,3
1813,8
1814,3
1815,3
1816,3
1818,1
1820,1
1821,1
1825,1
1826,1
1828,1
1829,1
1830,6
1831,5
1832,3
1833,5
1834,2
1835,6
1836,4
1837,3
1838,1
1839,5
1840,4
1841,5
1842,2
1843,3
1844,6
1845,5
1846,5
1847,5
1848,3
1849,11
1850,20
1851,14
1852,8
1853,20
1854,31
1855,77
1856,50
1857,38
1858,41
1859,29
1860,32
1861,23
1862,15
1863,27
1864,28
1865,30
1866,32
1867,33
1868,35
1869,31
1870,29
1871,40
1872,47
1873,42
1874,45
1875,52
1876,57
1877,71
1878,67
1879,81
1880,88
1881,85
1882,75
1883,79
1884,101
1885,95
1886,102
1887,108
1888,99
1889,103
1890,95
1891,108
1892,113
1893,141
1894,137
1895,150
1896,129
1897,134
1898,140
1899,156
1900,195
1901,159
1902,162
1903,166
1904,183
1905,206
1906,224
1907,215
1908,226
1909,192
1910,262
1911,293
1912,288
1913,289
1914,277
1915,297
1916,356
1917,352
1918,306
1919,298
1920,300
1921,316
1922,354
1923,387
1924,345
1925,296
1926,341
1927,376
1928,392
1929,403
1930,452
1931,439
1932,444
1933,455
1934,451
1935,482
1936,462
1937,472
1938,511
1939,528
1940,487
1941,501
1942,492
1943,466
1944,522
1945,498
1946,546
1947,576
1948,636
1949,703
1950,762
1951,801
1952,788
1953,824
1954,910
1955,897
1956,968
1957,1003
1958,1007
1959,1136
1960,1193
1961,1317
1962,1345
1963,1435
1964,1553
1965,1587
1966,1762
1967,1797
1968,1901
1969,2063
1970,2183
1971,2245
1972,2335
1973,2418
1974,2559
1975,2754
1976,2768
1977,2840
1978,3032
1979,3101
1980,3197
1981,3252
1982,3464
1983,3360
1984,3574
1985,3611
1986,3610
1987,3844
1988,3905
1989,3932
1990,4220
1991,4226
1992,4304
1993,4534
1994,4534
1995,4567
1996,4691
1997,4782
1998,4947
1999,5162
2000,5069
2001,5015
2002,5088
2003,5181
2004,5266
2005,5295
2006,5404
2007,5449
2008,5179
2009,5183
2010,4614
2011,4071
2012,3649
2013,943
2014,13






