

Year_of_Publication,ARTICLE_COUNT
1665,1
1670,1
1671,1
1684,1
1806,1
1810,2
1814,1
1815,2
1817,1
1824,2
1825,2
1830,2
1831,1
1837,1
1839,1
1840,2
1841,1
1845,2
1847,1
1850,2
1851,2
1853,2
1854,2
1855,12
1856,12
1857,8
1858,4
1859,6
1860,5
1861,4
1862,5
1863,2
1864,3
1865,5
1866,2
1867,4
1868,7
1869,4
1870,4
1871,3
1872,6
1873,11
1874,4
1875,11
1876,6
1877,17
1878,12
1879,13
1880,14
1881,21
1882,17
1883,13
1884,21
1885,16
1886,9
1887,16
1888,16
1889,19
1890,15
1891,25
1892,18
1893,26
1894,20
1895,27
1896,22
1897,21
1898,20
1899,38
1900,37
1901,32
1902,38
1903,41
1904,41
1905,47
1906,48
1907,50
1908,41
1909,38
1910,45
1911,61
1912,68
1913,60
1914,60
1915,57
1916,77
1917,77
1918,71
1919,74
1920,57
1921,71
1922,77
1923,93
1924,88
1925,68
1926,80
1927,81
1928,72
1929,81
1930,99
1931,96
1932,81
1933,89
1934,110
1935,94
1936,91
1937,111
1938,116
1939,112
1940,91
1941,91
1942,100
1943,92
1944,91
1945,97
1946,95
1947,122
1948,119
1949,123
1950,150
1951,161
1952,156
1953,161
1954,170
1955,165
1956,189
1957,179
1958,188
1959,196
1960,206
1961,222
1962,248
1963,267
1964,268
1965,271
1966,295
1967,305
1968,323
1969,326
1970,344
1971,381
1972,359
1973,383
1974,370
1975,399
1976,424
1977,432
1978,395
1979,425
1980,455
1981,455
1982,483
1983,490
1984,444
1985,506
1986,454
1987,484
1988,530
1989,494
1990,524
1991,502
1992,497
1993,537
1994,511
1995,486
1996,533
1997,571
1998,594
1999,527
2000,543
2001,522
2002,520
2003,523
2004,536
2005,532
2006,514
2007,484
2008,475
2009,467
2010,367
2011,345
2012,300
2013,100
2014,1






