

Year_of_Publication,ARTICLE_COUNT
1830,1
1838,1
1841,1
1842,1
1843,1
1846,1
1848,6
1849,1
1850,6
1853,2
1854,4
1856,4
1857,4
1859,3
1860,3
1861,11
1862,2
1863,27
1864,22
1865,29
1866,31
1867,32
1868,31
1869,27
1870,22
1871,4
1872,19
1873,15
1874,14
1875,20
1876,14
1877,15
1878,26
1879,29
1880,21
1881,29
1882,18
1883,32
1884,22
1885,31
1886,31
1887,31
1888,36
1889,35
1890,34
1891,37
1892,56
1893,87
1894,40
1895,44
1896,44
1897,49
1898,39
1899,63
1900,67
1901,54
1902,59
1903,40
1904,52
1905,52
1906,54
1907,61
1908,47
1909,48
1910,53
1911,44
1912,58
1913,50
1914,58
1915,43
1916,60
1917,56
1918,41
1919,44
1920,45
1921,62
1922,45
1923,68
1924,56
1925,66
1926,70
1927,82
1928,69
1929,76
1930,92
1931,88
1932,84
1933,87
1934,67
1935,89
1936,108
1937,92
1938,75
1939,86
1940,82
1941,64
1942,77
1943,70
1944,64
1945,65
1946,78
1947,105
1948,74
1949,83
1950,90
1951,100
1952,95
1953,130
1954,142
1955,146
1956,132
1957,138
1958,142
1959,160
1960,165
1961,210
1962,170
1963,205
1964,194
1965,217
1966,211
1967,199
1968,195
1969,237
1970,203
1971,225
1972,281
1973,271
1974,322
1975,328
1976,329
1977,342
1978,325
1979,366
1980,377
1981,389
1982,373
1983,361
1984,366
1985,414
1986,377
1987,363
1988,439
1989,442
1990,393
1991,445
1992,460
1993,481
1994,421
1995,459
1996,449
1997,481
1998,484
1999,461
2000,470
2001,433
2002,462
2003,454
2004,426
2005,452
2006,444
2007,460
2008,453
2009,407
2010,327
2011,265
2012,272
2013,40






