

Year_of_Publication,ARTICLE_COUNT
1792,2
1832,1
1836,1
1847,1
1853,4
1855,2
1856,1
1858,1
1859,1
1860,2
1861,2
1862,1
1863,2
1865,3
1866,1
1867,2
1868,8
1869,10
1870,6
1871,6
1872,10
1873,9
1874,7
1875,2
1876,5
1877,5
1878,15
1879,15
1880,4
1881,2
1882,6
1883,9
1884,16
1885,13
1886,36
1887,46
1888,38
1889,45
1890,49
1891,89
1892,78
1893,114
1894,104
1895,114
1896,94
1897,89
1898,76
1899,80
1900,90
1901,87
1902,78
1903,93
1904,92
1905,77
1906,83
1907,132
1908,112
1909,104
1910,111
1911,158
1912,157
1913,167
1914,140
1915,186
1916,152
1917,165
1918,172
1919,211
1920,226
1921,203
1922,213
1923,201
1924,222
1925,248
1926,228
1927,212
1928,224
1929,248
1930,286
1931,259
1932,288
1933,363
1934,406
1935,383
1936,429
1937,410
1938,418
1939,447
1940,388
1941,381
1942,339
1943,314
1944,284
1945,260
1946,330
1947,331
1948,345
1949,445
1950,388
1951,441
1952,453
1953,424
1954,478
1955,507
1956,453
1957,477
1958,510
1959,529
1960,556
1961,503
1962,545
1963,520
1964,530
1965,561
1966,609
1967,670
1968,720
1969,834
1970,796
1971,857
1972,959
1973,892
1974,944
1975,948
1976,968
1977,966
1978,965
1979,1106
1980,1114
1981,1107
1982,1172
1983,1176
1984,1143
1985,1249
1986,1321
1987,1332
1988,1321
1989,1322
1990,1264
1991,1248
1992,1148
1993,1268
1994,1187
1995,1224
1996,1144
1997,1188
1998,1155
1999,1117
2000,1068
2001,1030
2002,1018
2003,950
2004,948
2005,980
2006,897
2007,919
2008,860
2009,932
2010,837
2011,698
2012,643
2013,89






