

Year_of_Publication,ARTICLE_COUNT
1672,1
1757,1
1761,1
1769,5
1783,8
1784,1
1785,1
1786,9
1787,7
1788,11
1789,4
1790,4
1792,1
1793,21
1794,1
1795,1
1797,6
1798,3
1799,18
1800,5
1802,14
1803,4
1804,2
1806,1
1809,7
1810,2
1815,2
1816,2
1817,1
1818,2
1823,2
1824,2
1825,5
1828,8
1830,7
1831,1
1833,1
1834,1
1835,1
1836,2
1837,2
1838,1
1839,6
1840,9
1841,6
1842,9
1843,9
1844,4
1845,2
1846,12
1847,7
1848,6
1849,3
1850,5
1851,1
1852,5
1853,4
1854,4
1855,1
1856,3
1857,7
1858,1
1859,3
1860,6
1861,5
1862,2
1863,6
1864,1
1865,2
1866,2
1867,1
1868,3
1869,5
1870,2
1871,15
1872,4
1873,9
1874,5
1875,7
1876,6
1877,9
1878,7
1879,2
1880,5
1881,10
1882,8
1883,3
1884,5
1885,10
1886,18
1887,20
1888,11
1889,22
1890,16
1891,22
1892,24
1893,24
1894,25
1895,17
1896,33
1897,24
1898,26
1899,29
1900,24
1901,24
1902,20
1903,27
1904,32
1905,38
1906,25
1907,27
1908,39
1909,27
1910,34
1911,42
1912,34
1913,30
1914,52
1915,52
1916,45
1917,46
1918,39
1919,29
1920,38
1921,35
1922,51
1923,43
1924,40
1925,60
1926,54
1927,48
1928,55
1929,54
1930,43
1931,55
1932,59
1933,55
1934,57
1935,60
1936,57
1937,56
1938,55
1939,53
1940,66
1941,66
1942,59
1943,57
1944,41
1945,62
1946,65
1947,69
1948,63
1949,58
1950,56
1951,61
1952,39
1953,63
1954,56
1955,67
1956,68
1957,72
1958,62
1959,67
1960,72
1961,68
1962,67
1963,73
1964,69
1965,78
1966,93
1967,86
1968,69
1969,80
1970,96
1971,94
1972,92
1973,91
1974,96
1975,92
1976,88
1977,86
1978,107
1979,84
1980,83
1981,91
1982,80
1983,84
1984,96
1985,104
1986,113
1987,87
1988,109
1989,106
1990,97
1991,94
1992,83
1993,104
1994,87
1995,91
1996,83
1997,99
1998,101
1999,80
2000,100
2001,109
2002,84
2003,85
2004,87
2005,78
2006,76
2007,85
2008,57
2009,69
2010,61
2011,50
2012,56
2013,7






