

Year_of_Publication,ARTICLE_COUNT
1800,1
1812,2
1815,3
1823,1
1830,3
1831,1
1833,1
1836,3
1837,1
1838,2
1839,2
1840,3
1841,2
1843,3
1844,1
1845,4
1846,5
1847,1
1848,1
1849,1
1850,2
1851,1
1852,2
1853,6
1854,4
1855,4
1856,13
1857,16
1858,9
1859,11
1860,12
1861,10
1862,3
1863,13
1864,8
1865,17
1866,7
1867,19
1868,19
1869,26
1870,21
1871,24
1872,22
1873,29
1874,36
1875,24
1876,63
1877,67
1878,65
1879,65
1880,60
1881,88
1882,54
1883,73
1884,58
1885,71
1886,88
1887,70
1888,65
1889,76
1890,69
1891,121
1892,147
1893,173
1894,178
1895,181
1896,174
1897,153
1898,162
1899,164
1900,187
1901,151
1902,161
1903,161
1904,223
1905,210
1906,226
1907,219
1908,242
1909,260
1910,273
1911,229
1912,277
1913,279
1914,250
1915,262
1916,284
1917,284
1918,256
1919,257
1920,276
1921,264
1922,304
1923,299
1924,279
1925,287
1926,336
1927,345
1928,337
1929,319
1930,360
1931,344
1932,326
1933,329
1934,418
1935,377
1936,461
1937,465
1938,440
1939,451
1940,444
1941,468
1942,430
1943,444
1944,388
1945,395
1946,472
1947,519
1948,550
1949,582
1950,641
1951,640
1952,688
1953,759
1954,735
1955,784
1956,708
1957,760
1958,817
1959,765
1960,765
1961,797
1962,808
1963,914
1964,894
1965,917
1966,1005
1967,988
1968,1082
1969,1134
1970,1218
1971,1237
1972,1386
1973,1436
1974,1591
1975,1688
1976,1708
1977,1745
1978,1808
1979,1885
1980,1885
1981,1929
1982,2047
1983,1957
1984,1966
1985,2036
1986,2120
1987,2037
1988,2028
1989,2094
1990,2261
1991,2080
1992,2204
1993,2168
1994,2205
1995,2125
1996,2148
1997,2152
1998,2184
1999,2188
2000,2252
2001,2173
2002,2000
2003,2040
2004,2045
2005,2153
2006,2270
2007,2278
2008,2232
2009,2300
2010,2017
2011,2000
2012,1987
2013,474






