

Year_of_Publication,ARTICLE_COUNT
1821,1
1834,1
1836,1
1840,1
1841,2
1842,1
1844,1
1845,1
1846,1
1847,2
1848,1
1851,1
1852,1
1853,5
1854,6
1855,4
1856,4
1858,2
1859,2
1860,2
1861,1
1862,1
1863,2
1864,4
1865,1
1866,3
1867,3
1868,9
1869,10
1870,9
1871,7
1872,9
1873,7
1874,16
1875,3
1876,11
1877,11
1878,8
1879,8
1880,12
1881,18
1882,13
1883,7
1884,12
1885,13
1886,29
1887,32
1888,27
1889,37
1890,41
1891,44
1892,59
1893,62
1894,53
1895,60
1896,65
1897,67
1898,68
1899,90
1900,99
1901,76
1902,75
1903,82
1904,91
1905,102
1906,99
1907,163
1908,142
1909,152
1910,129
1911,179
1912,184
1913,175
1914,176
1915,213
1916,243
1917,254
1918,214
1919,233
1920,226
1921,240
1922,208
1923,277
1924,219
1925,244
1926,245
1927,244
1928,225
1929,230
1930,242
1931,217
1932,243
1933,283
1934,272
1935,302
1936,293
1937,337
1938,308
1939,339
1940,309
1941,362
1942,332
1943,299
1944,300
1945,306
1946,341
1947,347
1948,385
1949,399
1950,401
1951,421
1952,396
1953,431
1954,402
1955,387
1956,412
1957,428
1958,466
1959,454
1960,471
1961,529
1962,551
1963,596
1964,568
1965,545
1966,553
1967,589
1968,703
1969,700
1970,763
1971,766
1972,804
1973,790
1974,838
1975,846
1976,920
1977,904
1978,899
1979,903
1980,1021
1981,969
1982,945
1983,1008
1984,1144
1985,1096
1986,1091
1987,1174
1988,1192
1989,1165
1990,1271
1991,1187
1992,1250
1993,1249
1994,1393
1995,1309
1996,1293
1997,1366
1998,1399
1999,1434
2000,1374
2001,1411
2002,1517
2003,1510
2004,1636
2005,1687
2006,1697
2007,1742
2008,1555
2009,1570
2010,1296
2011,1426
2012,1186
2013,192






