

Year_of_Publication,ARTICLE_COUNT
1764,1
1786,1
1793,1
1800,1
1811,1
1815,6
1818,1
1821,1
1823,1
1825,2
1830,2
1832,1
1833,1
1834,2
1837,1
1838,1
1840,1
1842,2
1843,7
1844,2
1845,2
1846,6
1847,2
1849,1
1850,4
1852,1
1853,2
1854,6
1855,5
1856,4
1857,6
1858,4
1859,6
1860,5
1861,7
1862,5
1863,4
1864,3
1865,7
1866,3
1867,3
1868,8
1869,11
1870,7
1871,6
1872,9
1873,11
1874,21
1875,15
1876,31
1877,27
1878,32
1879,33
1880,23
1881,40
1882,34
1883,22
1884,36
1885,32
1886,51
1887,66
1888,41
1889,58
1890,70
1891,59
1892,79
1893,92
1894,64
1895,82
1896,64
1897,73
1898,73
1899,82
1900,67
1901,77
1902,57
1903,84
1904,102
1905,105
1906,99
1907,80
1908,101
1909,102
1910,106
1911,85
1912,86
1913,98
1914,82
1915,90
1916,106
1917,74
1918,79
1919,82
1920,99
1921,111
1922,126
1923,121
1924,128
1925,126
1926,151
1927,162
1928,153
1929,128
1930,137
1931,163
1932,140
1933,132
1934,182
1935,162
1936,178
1937,211
1938,145
1939,178
1940,160
1941,147
1942,114
1943,108
1944,105
1945,106
1946,121
1947,124
1948,165
1949,154
1950,193
1951,177
1952,179
1953,207
1954,231
1955,202
1956,259
1957,248
1958,254
1959,265
1960,280
1961,302
1962,302
1963,381
1964,443
1965,454
1966,443
1967,449
1968,460
1969,517
1970,548
1971,594
1972,609
1973,655
1974,675
1975,701
1976,685
1977,776
1978,773
1979,761
1980,797
1981,812
1982,837
1983,852
1984,907
1985,871
1986,860
1987,723
1988,778
1989,788
1990,1000
1991,957
1992,1000
1993,1014
1994,969
1995,972
1996,1037
1997,983
1998,1043
1999,1020
2000,1115
2001,1106
2002,1051
2003,1061
2004,1160
2005,1134
2006,1206
2007,1337
2008,1434
2009,1617
2010,1541
2011,1386
2012,1235
2013,278
2014,2






