

Year_of_Publication,ARTICLE_COUNT
1878,1
1881,1
1883,1
1884,1
1888,2
1889,2
1890,2
1891,2
1892,3
1893,5
1894,8
1895,27
1896,21
1897,22
1898,19
1899,27
1900,25
1901,13
1902,20
1903,14
1904,27
1905,15
1906,14
1907,19
1908,11
1909,16
1910,27
1911,17
1912,19
1913,26
1914,23
1915,20
1916,20
1917,27
1918,28
1919,17
1920,34
1921,30
1922,37
1923,47
1924,42
1925,46
1926,48
1927,50
1928,54
1929,62
1930,48
1931,56
1932,51
1933,66
1934,64
1935,66
1936,85
1937,102
1938,93
1939,122
1940,129
1941,125
1942,134
1943,111
1944,116
1945,130
1946,123
1947,124
1948,147
1949,166
1950,189
1951,223
1952,221
1953,213
1954,229
1955,261
1956,268
1957,310
1958,282
1959,358
1960,358
1961,360
1962,385
1963,457
1964,417
1965,479
1966,537
1967,577
1968,664
1969,672
1970,752
1971,828
1972,812
1973,885
1974,990
1975,1019
1976,1053
1977,1100
1978,1110
1979,1196
1980,1215
1981,1199
1982,1192
1983,1128
1984,1155
1985,1152
1986,1160
1987,1255
1988,1248
1989,1237
1990,1262
1991,1233
1992,1256
1993,1244
1994,1267
1995,1358
1996,1350
1997,1409
1998,1435
1999,1427
2000,1429
2001,1279
2002,1288
2003,1291
2004,1400
2005,1372
2006,1461
2007,1367
2008,1497
2009,1453
2010,1463
2011,1419
2012,1360
2013,245






