

Year_of_Publication,ARTICLE_COUNT
1665,6
1666,2
1668,2
1669,2
1671,1
1672,8
1673,3
1674,1
1675,4
1676,4
1683,6
1684,5
1685,3
1686,6
1693,1
1695,1
1699,1
1700,2
1702,2
1704,1
1710,2
1714,1
1717,7
1720,2
1722,6
1724,7
1729,1
1731,4
1733,2
1735,5
1737,6
1739,5
1742,4
1744,3
1746,6
1748,5
1749,11
1751,7
1753,8
1755,3
1757,7
1759,8
1761,8
1763,6
1764,7
1765,4
1766,3
1767,5
1768,4
1769,8
1770,2
1771,5
1772,2
1773,2
1774,5
1775,6
1776,2
1777,7
1778,11
1779,6
1780,3
1781,4
1782,6
1783,15
1784,7
1785,8
1786,15
1787,16
1788,17
1789,9
1790,8
1791,5
1792,6
1793,23
1794,3
1795,8
1796,7
1797,14
1798,10
1799,20
1800,78
1801,6
1802,22
1803,12
1804,7
1805,4
1806,7
1807,7
1808,18
1809,62
1810,36
1811,28
1812,29
1813,21
1814,27
1815,101
1816,14
1817,14
1818,26
1819,9
1820,5
1821,6
1822,7
1823,10
1824,6
1825,21
1826,14
1827,9
1828,15
1829,8
1830,106
1831,31
1832,23
1833,30
1834,34
1835,32
1836,48
1837,82
1838,25
1839,33
1840,71
1841,81
1842,77
1843,217
1844,67
1845,46
1846,83
1847,83
1848,73
1849,103
1850,149
1851,95
1852,122
1853,174
1854,202
1855,154
1856,259
1857,286
1858,166
1859,179
1860,206
1861,215
1862,202
1863,257
1864,205
1865,260
1866,295
1867,257
1868,299
1869,288
1870,293
1871,347
1872,340
1873,332
1874,396
1875,410
1876,459
1877,482
1878,506
1879,532
1880,568
1881,623
1882,549
1883,718
1884,723
1885,695
1886,743
1887,798
1888,755
1889,865
1890,877
1891,921
1892,1030
1893,1291
1894,1034
1895,1119
1896,1111
1897,1281
1898,1215
1899,1262
1900,1358
1901,1426
1902,1529
1903,1506
1904,1635
1905,1707
1906,1774
1907,1848
1908,1976
1909,2028
1910,2036
1911,2190
1912,2146
1913,2162
1914,2185
1915,2307
1916,2348
1917,2257
1918,2076
1919,2102
1920,2298
1921,2414
1922,2540
1923,2800
1924,2711
1925,2856
1926,3167
1927,3281
1928,3314
1929,3418
1930,3513
1931,3550
1932,3626
1933,3637
1934,3870
1935,4005
1936,4163
1937,4125
1938,4056
1939,4117
1940,4010
1941,3883
1942,3582
1943,3177
1944,3091
1945,3216
1946,3601
1947,4011
1948,4342
1949,4644
1950,4875
1951,5017
1952,5109
1953,5357
1954,5664
1955,5873
1956,5819
1957,6057
1958,6153
1959,6434
1960,6821
1961,7080
1962,7266
1963,7787
1964,8392
1965,8924
1966,9277
1967,9823
1968,10432
1969,11264
1970,11838
1971,12323
1972,13110
1973,13577
1974,14313
1975,14728
1976,15172
1977,15283
1978,15751
1979,16283
1980,16767
1981,16967
1982,17219
1983,17476
1984,17896
1985,18384
1986,18814
1987,19271
1988,19839
1989,19643
1990,20563
1991,21107
1992,21906
1993,22332
1994,22590
1995,22788
1996,23478
1997,23643
1998,24037
1999,24249
2000,24639
2001,24416
2002,24481
2003,25056
2004,26143
2005,26899
2006,27566
2007,27802
2008,26414
2009,26931
2010,24722
2011,22321
2012,20977
2013,5861
2014,244






